university_name,university_id
escuela superior politécnica del litoral espol,U1031
fordham university,U1032
gebze technical university gtu,U1033
george mason university,U1034
gifu university,U1035
glasgow caledonian university,U1036
gunma university,U1037
guru gobind singh indraprastha university,U1038
harbin engineering university,U1039
hohai university,U1040
howard university,U1041
hungarian university of agriculture and life sciences,U1042
indiana universitypurdue university indianapolis,U1043
international christian university,U1044
international islamic university islamabad iiu,U1045
islamic university of madinah,U1046
iteso universidad jesuita de guadalajara,U1047
jiangnan university,U1048
kagoshima university,U1049
kangwon national university,U1050
kazakhbritish technical university,U1051
kent state university,U1052
kyushu institute of technology,U1053
leeds beckett university,U1054
lobachevsky university,U1055
lodz university of technology,U1056
london metropolitan university,U1057
loyola university chicago,U1058
lviv polytechnic national university,U1059
marmara university,U1060
mississippi state university,U1061
multimedia university mmu,U1062
mustansiriyah university,U1063
mutah university,U1064
mykolas romeris university,U1065
nanjing normal university,U1066
narxoz university,U1067
national chung cheng university,U1068
national technical university kharkiv polytechnic institute,U1069
national university of kyivmohyla academy naukma,U1070
njsc kimep university,U1071
northern arizona university,U1072
northwest university china,U1073
op jindal global university,U1074
ohio university,U1075
panjab university,U1076
paul valéry university montpellier,U1077
pontifícia universidade católica de são paulo,U1078
poznan university of technology,U1079
rochester institute of technology rit,U1080
russian presidential academy of national economy and public administration,U1081
saint petersburg electrotechnical university etuleti,U1082
saintpetersburg mining university,U1083
samara national research university samara university,U1084
san diego state university,U1085
sheffield hallam university,U1086
shinshu university,U1087
siberian federal university sibfu,U1088
silesian university of technology,U1089
slovak university of agriculture in nitra,U1090
slovak university of technology in bratislava,U1091
sohar university,U1092
soonchunhyang university,U1093
southern methodist university,U1094
southwest university,U1095
srm institute of science and technology,U1096
sumy state university,U1097
