university_id,year,source,global_rank,overall_score,academic_reputation,employer_reputation
U00164,2024,THE_2024,550.5,,,
U00164,2023,WUR_2023,450.5,,,
U00165,2025,QS_2025,165.0,50.7,73.7,30.3
U00166,2025,QS_2025,165.0,50.7,46.1,39.4
U00166,2024,THE_2024,168.0,60.8,,
U00167,2025,QS_2025,167.0,50.3,58.3,66.5
U00167,2024,THE_2024,325.5,,,
U00167,2023,WUR_2023,550.5,,,
U00168,2025,QS_2025,167.0,50.3,29.5,24.5
U00168,2024,THE_2024,225.5,,,
U00168,2023,WUR_2023,225.5,,,
U00169,2025,QS_2025,169.0,50.1,53.2,24.8
U00169,2024,THE_2024,115.0,65.6,,
U00169,2023,WUR_2023,107.0,62.7,,
U00170,2025,QS_2025,169.0,50.1,42.9,45.0
U00171,2025,QS_2025,171.0,50.0,45.2,51.8
U00171,2024,THE_2024,167.0,60.9,,
U00172,2025,QS_2025,172.0,49.9,32.2,41.7
U00172,2024,THE_2024,225.5,,,
U00172,2023,WUR_2023,198.0,54.4,,
U00173,2025,QS_2025,173.0,49.8,59.0,63.3
U00173,2024,THE_2024,375.5,,,
U00173,2023,WUR_2023,550.5,,,
U00174,2025,QS_2025,174.0,49.3,33.1,27.7
U00174,2024,THE_2024,225.5,,,
U00175,2025,QS_2025,175.0,49.2,64.0,35.8
U00176,2025,QS_2025,176.0,49.0,39.5,34.2
U00176,2024,THE_2024,103.0,66.3,,
U00177,2025,QS_2025,171.0,49.9,36.3,12.0
U00177,2024,THE_2024,68.0,72.3,,
U00177,2023,WUR_2023,57.0,70.6,,
U00178,2025,QS_2025,178.0,48.9,52.6,21.3
U00178,2024,THE_2024,69.0,72.1,,
U00178,2023,WUR_2023,64.0,68.4,,
U00179,2025,QS_2025,179.0,48.7,28.3,24.5
U00180,2025,QS_2025,179.0,48.7,67.7,88.4
U00181,2025,QS_2025,181.0,48.5,48.6,59.6
U00181,2024,THE_2024,450.5,,,
U00182,2025,QS_2025,181.0,48.5,60.7,96.1
U00182,2024,THE_2024,900.5,,,
U00182,2023,WUR_2023,1100.5,,,
U00183,2025,QS_2025,183.0,48.3,12.9,4.7
