university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U1914,Kyoto Prefectural University of Medicine,Japan,JPN,East Asia & Pacific,High income: OECD
U1917,Lakehead University,Canada,CAN,North America,High income: OECD
U1934,University of Northern British Columbia (UNBC),Canada,CAN,North America,High income: OECD
U1954,"University of Technology, Iraq",Iraq,IRQ,Middle East & North Africa,Upper middle income
U1956,Tokyo Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U1974,Aichi Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U1980,Bangladesh Agricultural University (BAU),Bangladesh,BGD,South Asia,Low income
U1989,Democritus University of Thrace,Greece,GRC,Europe & Central Asia,High income: OECD
U2001,Federal University of Technology Akure,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2006,Fujita Health University,Japan,JPN,East Asia & Pacific,High income: OECD
U2013,Hamamatsu University School of Medicine,Japan,JPN,East Asia & Pacific,High income: OECD
U2026,Jimma University,Ethiopia,ETH,Sub-Saharan Africa,Low income
U2027,Kansai Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2031,Kindai University,Japan,JPN,East Asia & Pacific,High income: OECD
U2033,Kurume University,Japan,JPN,East Asia & Pacific,High income: OECD
U2048,Ming Chi University of Technology,Taiwan,,,
U2053,Nagoya City University,Japan,JPN,East Asia & Pacific,High income: OECD
U2060,Nippon Medical School,Japan,JPN,East Asia & Pacific,High income: OECD
U2063,"University of Occupational and Environmental Health, Japan",Japan,JPN,East Asia & Pacific,High income: OECD
U2070,University of Rajshahi,Bangladesh,BGD,South Asia,Low income
U2088,University of the South Pacific,Fiji,FJI,East Asia & Pacific,Upper middle income
U2099,Toyohashi University of Technology (TUT),Japan,JPN,East Asia & Pacific,High income: OECD
U2100,Toyota Technological Institute,Japan,JPN,East Asia & Pacific,High income: OECD
U2105,Wakayama Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2119,Al-Nahrain University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2120,University of Al-Qadisiyah,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2130,Bayero University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2144,Chang Gung University of Science and Technology,Taiwan,,,
U2148,Chung Shan Medical University,Taiwan,,,
U2153,University of Diyala,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2159,Ehime University,Japan,JPN,East Asia & Pacific,High income: OECD
U2160,The University of Electro-Communications,Japan,JPN,East Asia & Pacific,High income: OECD
U2191,Hyogo Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2195,University of Ilorin,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2199,I-Shou University,Taiwan,,,
U2204,The Jikei University School of Medicine,Japan,JPN,East Asia & Pacific,High income: OECD
U2206,Kagawa University,Japan,JPN,East Asia & Pacific,High income: OECD
U2211,Kitasato University,Japan,JPN,East Asia & Pacific,High income: OECD
U2213,Kyushu Institute of Technology (Kyutech),Japan,JPN,East Asia & Pacific,High income: OECD
U2214,University of Lethbridge,Canada,CAN,North America,High income: OECD
U2227,Mie University,Japan,JPN,East Asia & Pacific,High income: OECD
U2234,Nagaoka University of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2235,Nagoya Institute of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2236,University of Namibia,Namibia,NAM,Sub-Saharan Africa,Upper middle income
U2237,National Changhua University of Education,Taiwan,,,
U2238,National Chin-Yi University of Technology,Taiwan,,,
U2242,National Kaohsiung University of Science and Technology,Taiwan,,,
U2246,University of Nigeria Nsukka,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2247,Ochanomizu University,Japan,JPN,East Asia & Pacific,High income: OECD
U2261,University of Puerto Rico,Puerto Rico,PRI,Latin America & Caribbean,High income: nonOECD
U2265,Saitama Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2266,Sapporo Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2276,Shiga University of Medical Science,Japan,JPN,East Asia & Pacific,High income: OECD
U2277,Showa University,Japan,JPN,East Asia & Pacific,High income: OECD
U2287,St Marianna University School of Medicine,Japan,JPN,East Asia & Pacific,High income: OECD
U2294,Technical University of Crete,Greece,GRC,Europe & Central Asia,High income: OECD
U2301,Toho University,Japan,JPN,East Asia & Pacific,High income: OECD
U2302,Tokyo University of Marine Science and Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2304,University of Toyama,Japan,JPN,East Asia & Pacific,High income: OECD
U2308,Tzu Chi University,Taiwan,,,
U2321,University of Western Macedonia,Greece,GRC,Europe & Central Asia,High income: OECD
U2328,Yamagata University,Japan,JPN,East Asia & Pacific,High income: OECD
U2329,University of Yamanashi,Japan,JPN,East Asia & Pacific,High income: OECD
U2332,University of Zambia,Zambia,ZMB,Sub-Saharan Africa,Lower middle income
U2343,Afe Babalola University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2344,Akita University,Japan,JPN,East Asia & Pacific,High income: OECD
U2347,University of Anbar,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2370,University of Benin,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2399,Chiba Institute of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2400,Chinese Culture University,Taiwan,,,
U2402,Chubu University,Japan,JPN,East Asia & Pacific,High income: OECD
U2403,Chuo University,Japan,JPN,East Asia & Pacific,High income: OECD
U2412,Dokkyo Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2422,"Federal University of Agriculture, Abeokuta",Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2437,University of Fukui,Japan,JPN,East Asia & Pacific,High income: OECD
U2438,Fukuoka University,Japan,JPN,East Asia & Pacific,High income: OECD
U2452,Hellenic Open University,Greece,GRC,Europe & Central Asia,High income: OECD
U2456,Hosei University,Japan,JPN,East Asia & Pacific,High income: OECD
