country_code,year,indicator,value
KAZ,2015,tertiary_graduation_ratio,67.1917724609375
ESP,2015,tertiary_graduation_ratio,51.2237510681152
ZAF,2015,tertiary_graduation_ratio,
COL,2015,tertiary_graduation_ratio,21.1114101409912
ARE,2015,tertiary_graduation_ratio,
IDN,2015,tertiary_graduation_ratio,
ISR,2015,tertiary_graduation_ratio,
THA,2015,tertiary_graduation_ratio,26.9894104003906
MAC,2015,tertiary_graduation_ratio,53.4912300109863
CZE,2015,tertiary_graduation_ratio,39.0339508056641
LBN,2015,tertiary_graduation_ratio,
POL,2015,tertiary_graduation_ratio,47.6031112670898
PRT,2015,tertiary_graduation_ratio,51.4120712280273
TUR,2015,tertiary_graduation_ratio,
PAK,2015,tertiary_graduation_ratio,
GRC,2015,tertiary_graduation_ratio,
PHL,2015,tertiary_graduation_ratio,
IRN,2015,tertiary_graduation_ratio,32.0686416625977
EGY,2015,tertiary_graduation_ratio,
LUX,2015,tertiary_graduation_ratio,
EST,2015,tertiary_graduation_ratio,
PER,2015,tertiary_graduation_ratio,
OMN,2015,tertiary_graduation_ratio,
JOR,2015,tertiary_graduation_ratio,
BRN,2015,tertiary_graduation_ratio,
BLR,2015,tertiary_graduation_ratio,
CYP,2015,tertiary_graduation_ratio,
LTU,2015,tertiary_graduation_ratio,57.4757385253906
VNM,2015,tertiary_graduation_ratio,19.5287895202637
CRI,2015,tertiary_graduation_ratio,50.3252410888672
BHR,2015,tertiary_graduation_ratio,
UZB,2015,tertiary_graduation_ratio,
ISL,2015,tertiary_graduation_ratio,
BGD,2015,tertiary_graduation_ratio,
HUN,2015,tertiary_graduation_ratio,34.0990982055664
SVN,2015,tertiary_graduation_ratio,60.7241401672363
KWT,2015,tertiary_graduation_ratio,
HRV,2015,tertiary_graduation_ratio,48.5432395935059
SVK,2015,tertiary_graduation_ratio,40.2954902648926
BGR,2015,tertiary_graduation_ratio,49.5609893798828
URY,2015,tertiary_graduation_ratio,
VEN,2015,tertiary_graduation_ratio,
CUB,2015,tertiary_graduation_ratio,36.6180191040039
UKR,2015,tertiary_graduation_ratio,
LVA,2015,tertiary_graduation_ratio,34.5982093811035
SRB,2015,tertiary_graduation_ratio,
MLT,2015,tertiary_graduation_ratio,35.4408111572266
ETH,2015,tertiary_graduation_ratio,
TUN,2015,tertiary_graduation_ratio,24.4065208435059
ROU,2015,tertiary_graduation_ratio,45.1505699157715
GEO,2015,tertiary_graduation_ratio,
ECU,2015,tertiary_graduation_ratio,
IRQ,2015,tertiary_graduation_ratio,
PSE,2015,tertiary_graduation_ratio,30.5414791107178
KGZ,2015,tertiary_graduation_ratio,33.9849090576172
GHA,2015,tertiary_graduation_ratio,
UGA,2015,tertiary_graduation_ratio,
KEN,2015,tertiary_graduation_ratio,
ARM,2015,tertiary_graduation_ratio,37.4854888916016
AZE,2015,tertiary_graduation_ratio,
LKA,2015,tertiary_graduation_ratio,11.0762100219727
PRI,2015,tertiary_graduation_ratio,
PRY,2015,tertiary_graduation_ratio,
PAN,2015,tertiary_graduation_ratio,
MAR,2015,tertiary_graduation_ratio,
NGA,2015,tertiary_graduation_ratio,
SDN,2015,tertiary_graduation_ratio,
BIH,2015,tertiary_graduation_ratio,
SYR,2015,tertiary_graduation_ratio,
DOM,2015,tertiary_graduation_ratio,22.3049697875977
GTM,2015,tertiary_graduation_ratio,
BOL,2015,tertiary_graduation_ratio,
HND,2015,tertiary_graduation_ratio,10.9112396240234
DZA,2015,tertiary_graduation_ratio,
TZA,2015,tertiary_graduation_ratio,
FJI,2015,tertiary_graduation_ratio,
JAM,2015,tertiary_graduation_ratio,
BWA,2015,tertiary_graduation_ratio,
MOZ,2015,tertiary_graduation_ratio,
MUS,2015,tertiary_graduation_ratio,
NAM,2015,tertiary_graduation_ratio,
NPL,2015,tertiary_graduation_ratio,
ZMB,2015,tertiary_graduation_ratio,
ZWE,2015,tertiary_graduation_ratio,
MNE,2015,tertiary_graduation_ratio,
XKX,2015,tertiary_graduation_ratio,
MKD,2015,tertiary_graduation_ratio,
SOM,2015,tertiary_graduation_ratio,
RWA,2015,tertiary_graduation_ratio,
YEM,2015,tertiary_graduation_ratio,
LBY,2015,tertiary_graduation_ratio,
TCA,2015,tertiary_graduation_ratio,
TKM,2015,tertiary_graduation_ratio,
SEN,2015,tertiary_graduation_ratio,
MWI,2015,tertiary_graduation_ratio,
KHM,2015,tertiary_graduation_ratio,
AGO,2015,tertiary_graduation_ratio,
MDA,2015,tertiary_graduation_ratio,
MNG,2015,tertiary_graduation_ratio,
ALB,2015,tertiary_graduation_ratio,36.8129501342773
USA,2015,female_tertiary_students_pct,56.2370185852051
GBR,2015,female_tertiary_students_pct,
CHE,2015,female_tertiary_students_pct,49.8023414611816
SGP,2015,female_tertiary_students_pct,
AUS,2015,female_tertiary_students_pct,
CHN,2015,female_tertiary_students_pct,51.4681091308594
HKG,2015,female_tertiary_students_pct,52.449649810791
FRA,2015,female_tertiary_students_pct,
CAN,2015,female_tertiary_students_pct,
DEU,2015,female_tertiary_students_pct,47.9433212280273
KOR,2015,female_tertiary_students_pct,40.7566299438477
JPN,2015,female_tertiary_students_pct,
NLD,2015,female_tertiary_students_pct,52.307559967041
MYS,2015,female_tertiary_students_pct,58.2287902832031
BEL,2015,female_tertiary_students_pct,55.8789100646973
NZL,2015,female_tertiary_students_pct,56.5296783447266
ARG,2015,female_tertiary_students_pct,
SWE,2015,female_tertiary_students_pct,59.1986618041992
IRL,2015,female_tertiary_students_pct,50.907600402832
BRA,2015,female_tertiary_students_pct,57.0587997436523
CHL,2015,female_tertiary_students_pct,51.902889251709
RUS,2015,female_tertiary_students_pct,53.433479309082
MEX,2015,female_tertiary_students_pct,
DNK,2015,female_tertiary_students_pct,57.0733299255371
SAU,2015,female_tertiary_students_pct,49.0502815246582
ITA,2015,female_tertiary_students_pct,56.3315086364746
FIN,2015,female_tertiary_students_pct,53.594970703125
IND,2015,female_tertiary_students_pct,47.1949195861816
NOR,2015,female_tertiary_students_pct,57.8713912963867
QAT,2015,female_tertiary_students_pct,65.976463317871
AUT,2015,female_tertiary_students_pct,53.2282218933105
KAZ,2015,female_tertiary_students_pct,55.4981384277344
ESP,2015,female_tertiary_students_pct,53.1438102722167
ZAF,2015,female_tertiary_students_pct,
COL,2015,female_tertiary_students_pct,52.9310913085938
ARE,2015,female_tertiary_students_pct,54.916259765625
IDN,2015,female_tertiary_students_pct,52.1860504150391
ISR,2015,female_tertiary_students_pct,56.7566184997559
THA,2015,female_tertiary_students_pct,58.3397102355957
MAC,2015,female_tertiary_students_pct,56.2997589111328
CZE,2015,female_tertiary_students_pct,57.2906188964844
LBN,2015,female_tertiary_students_pct,
POL,2015,female_tertiary_students_pct,
PRT,2015,female_tertiary_students_pct,53.2700119018555
TUR,2015,female_tertiary_students_pct,45.9554710388184
PAK,2015,female_tertiary_students_pct,45.1739807128906
