university_id,university_name,country_id,country_name,region
U00525,democritus university of thrace,C084,Greece,Europe & Central Asia
U00526,denau institute of entrepreneurship and pedagogy,C229,Uzbekistan,Europe & Central Asia
U00527,deraya university,C063,"Egypt, Arab Rep.",
U00528,dha suffa university,C171,Pakistan,South Asia
U00529,dhaka international university,C019,Bangladesh,South Asia
U00530,dhofar university,C170,Oman,Middle East & North Africa
U00531,dhonburi rajabhat university,C214,Thailand,East Asia & Pacific
U00532,dicle university,C221,Turkey,Europe & Central Asia
U00533,diego portales university,C037,Chile,Latin America & Caribbean
U00534,dijlah university,C102,Iraq,Middle East & North Africa
U00535,diponegoro university,C097,Indonesia,East Asia & Pacific
U00536,dokkyo medical university,C108,Japan,East Asia & Pacific
U00537,dokuz eylül university,C221,Turkey,Europe & Central Asia
U00538,dokuz eylül üniversitesi,C221,Turkey,Europe & Central Asia
U00539,don bosco university,C099,India,South Asia
U00540,don state technical university,C186,Russian Federation,
U00541,donetsk national university of economics and trade named after mykhailo tuhanbaranovsky donnuet,C225,Ukraine,Europe & Central Asia
U00542,dongguk university,C115,"Korea, Rep.",
U00543,donghua university,C038,China,East Asia & Pacific
U00544,donghua university,C038,China,East Asia & Pacific
U00545,doshisha university,C108,Japan,East Asia & Pacific
U00546,dovletmammet azadi turkmen national institute of world languages,C216,Turkmenistan,Europe & Central Asia
U00547,dow university of health sciences,C171,Pakistan,South Asia
U00548,doğuş university,C221,Turkey,Europe & Central Asia
U00549,dr br ambedkar national institute of technology jalandhar,C099,India,South Asia
U00550,dr d y patil vidyapeeth pune,C099,India,South Asia
U00551,dr mgr educational and research institute,C099,India,South Asia
U00552,drexel university,C228,United States,North America
U00553,dublin city university,C100,Ireland,Europe & Central Asia
U00554,duke university,C228,United States,North America
U00555,dulaty university,C109,Kazakhstan,Europe & Central Asia
U00556,dumlupinar university,C221,Turkey,Europe & Central Asia
U00557,dunarea de jos university of galati,C185,Romania,Europe & Central Asia
U00558,durban university of technology,C239,South Africa,Sub-Saharan Africa
U00559,durham university,C076,United Kingdom,Europe & Central Asia
U00560,duy tan university,C233,Viet Nam,
U00561,duzce university,C221,Turkey,Europe & Central Asia
U00562,eae business school,C066,Spain,Europe & Central Asia
U00563,eafit university,C043,Colombia,Latin America & Caribbean
U00564,ean university,C043,Colombia,Latin America & Caribbean
U00565,east china normal university,C038,China,East Asia & Pacific
U00566,east china normal university,C038,China,East Asia & Pacific
U00567,east china university of science and technology,C038,China,East Asia & Pacific
U00568,east china university of science and technology,C038,China,East Asia & Pacific
U00569,east west university,C019,Bangladesh,South Asia
U00570,eastern mediterranean university,,Northern Cyprus,
U00571,eberhard karls universität tübingen,C052,Germany,Europe & Central Asia
U00572,ebonyi state university,C162,Nigeria,Sub-Saharan Africa
U00573,ecole des ponts paristech,C072,France,Europe & Central Asia
U00574,edge hill university,C076,United Kingdom,Europe & Central Asia
U00575,edinburgh napier university,C076,United Kingdom,Europe & Central Asia
U00576,edith cowan university,C012,Australia,East Asia & Pacific
U00577,edith cowan university,,,
U00578,edo state university uzairue,C162,Nigeria,Sub-Saharan Africa
U00579,edwin clark university,C162,Nigeria,Sub-Saharan Africa
U00580,effat university,C189,Saudi Arabia,Middle East & North Africa
U00581,ege university,C221,Turkey,Europe & Central Asia
U00582,egerton university,C110,Kenya,Sub-Saharan Africa
U00583,egyptian russian university,C063,"Egypt, Arab Rep.",
U00584,egyptjapan university of science and technology ejust,C063,"Egypt, Arab Rep.",
U00585,ehime university,C108,Japan,East Asia & Pacific
U00586,eindhoven university of technology,C164,Netherlands,Europe & Central Asia
U00587,el bosque university,C043,Colombia,Latin America & Caribbean
U00588,elizade university,C162,Nigeria,Sub-Saharan Africa
U00589,emir abdelkader university of islamic sciences,C057,Algeria,Middle East & North Africa
U00590,emory university,C228,United States,North America
U00591,ensta bretagne,C072,France,Europe & Central Asia
U00592,epfl,C035,Switzerland,Europe & Central Asia
U00593,erasmus university rotterdam,C164,Netherlands,Europe & Central Asia
U00594,erasmus university rotterdam,,,
U00595,erciyes university,C221,Turkey,Europe & Central Asia
U00596,erciyes üniversitesi,C221,Turkey,Europe & Central Asia
U00597,erzincan binali yıldırım university,C221,Turkey,Europe & Central Asia
U00598,escola superior de enfermagem do porto esep,C180,Portugal,Europe & Central Asia
U00599,escuela politécnica nacional,C062,Ecuador,Latin America & Caribbean
U00600,escuela superior politécnica de chimborazo,C062,Ecuador,Latin America & Caribbean
U00601,escuela superior politécnica del litoral,C062,Ecuador,Latin America & Caribbean
U00602,escuela superior politécnica del litoral espol,C062,Ecuador,Latin America & Caribbean
U00603,esic,C066,Spain,Europe & Central Asia
U00604,esic,,,
U00605,eskişehir osmangazi university,C221,Turkey,Europe & Central Asia
U00606,eskişehir technical university,C221,Turkey,Europe & Central Asia
U00607,essex university of,C076,United Kingdom,Europe & Central Asia
U00608,eth zurich,C035,Switzerland,Europe & Central Asia
U00609,eth zurich swiss federal institute of technology,C035,Switzerland,Europe & Central Asia
U00610,european university,C077,Georgia,Europe & Central Asia
U00611,european university cyprus,C050,Cyprus,Europe & Central Asia
U00612,european university cyprus,,,
U00613,european university of armenia,C009,Armenia,Europe & Central Asia
U00614,european university of madrid,C066,Spain,Europe & Central Asia
U00615,european university of tunis,C220,Tunisia,Middle East & North Africa
U00616,european university of valencia,C066,Spain,Europe & Central Asia
U00617,evangel university akaeze,C162,Nigeria,Sub-Saharan Africa
U00618,ewha womans university,C115,"Korea, Rep.",
U00619,externado university of colombia,C043,Colombia,Latin America & Caribbean
U00620,eötvös loránd university,C096,Hungary,Europe & Central Asia
U00621,eötvös loránd university,,,
U00622,falmouth university,C076,United Kingdom,Europe & Central Asia
U00623,far eastern federal university,C186,Russian Federation,
U00624,fayoum university,C063,"Egypt, Arab Rep.",
U00625,federal rural university of pernambuco,C028,Brazil,Latin America & Caribbean
U00626,federal university gashua,C162,Nigeria,Sub-Saharan Africa
U00627,federal university of agriculture abeokuta,C162,Nigeria,Sub-Saharan Africa
U00628,federal university of espírito santo,C028,Brazil,Latin America & Caribbean
U00629,federal university of goiás,C028,Brazil,Latin America & Caribbean
U00630,federal university of itajubá,C028,Brazil,Latin America & Caribbean
U00631,federal university of kashere,C162,Nigeria,Sub-Saharan Africa
U00632,federal university of lafia,C162,Nigeria,Sub-Saharan Africa
U00633,federal university of latin american integration unila,C028,Brazil,Latin America & Caribbean
U00634,federal university of lavras,C028,Brazil,Latin America & Caribbean
U00635,federal university of mato grosso do sul,C028,Brazil,Latin America & Caribbean
U00636,federal university of minas gerais,C028,Brazil,Latin America & Caribbean
U00637,federal university of paraíba ufpb,C028,Brazil,Latin America & Caribbean
U00638,federal university of pará,C028,Brazil,Latin America & Caribbean
U00639,federal university of pelotas,C028,Brazil,Latin America & Caribbean
U00640,federal university of pernambuco,C028,Brazil,Latin America & Caribbean
U00641,federal university of petroleum resources effurun,C162,Nigeria,Sub-Saharan Africa
U00642,federal university of piauí,C028,Brazil,Latin America & Caribbean
U00643,federal university of rio de janeiro,C028,Brazil,Latin America & Caribbean
U00644,federal university of rio grande do norte ufrn,C028,Brazil,Latin America & Caribbean
U00645,federal university of santa maria,C028,Brazil,Latin America & Caribbean
U00646,federal university of são carlos,C028,Brazil,Latin America & Caribbean
U00647,federal university of technology akure,C162,Nigeria,Sub-Saharan Africa
U00648,federal university of technology minna,C162,Nigeria,Sub-Saharan Africa
U00649,federal university of technology owerri,C162,Nigeria,Sub-Saharan Africa
U00650,federal university of the state of rio de janeiro unirio,C028,Brazil,Latin America & Caribbean
U00651,federal university of toulouse midipyrénées,C072,France,Europe & Central Asia
U00652,federal university of uberlândia,C028,Brazil,Latin America & Caribbean
U00653,federal university of vales do jequitinhonha e mucuri,C028,Brazil,Latin America & Caribbean
U00654,federal university of viçosa,C028,Brazil,Latin America & Caribbean
U00655,federation university australia,C012,Australia,East Asia & Pacific
