master_university_id,source_a,source_a_row,source_b,source_b_row,match_method,match_score
UNI00546,QS,971,THE,483,exact,exact
UNI00685,QS,974,THE,607,exact,exact
UNI01038,QS,975,THE,1182,exact,exact
UNI01054,QS,991,THE,1542,exact,exact
UNI00592,QS,993,THE,519,exact,exact
UNI01056,QS,994,THE,1283,exact,exact
UNI01057,QS,995,THE,1062,exact,exact
UNI00968,QS,998,THE,1137,exact,exact
UNI01029,QS,999,THE,965,exact,exact
UNI00864,QS,1000,THE,791,exact,exact
UNI01062,QS,1002,THE,1478,exact,exact
UNI00876,QS,1003,THE,800,exact,exact
UNI01063,QS,1005,THE,1501,exact,exact
UNI00901,QS,1007,THE,1076,exact,exact
UNI00689,QS,1010,THE,609,exact,exact
UNI00888,QS,1011,THE,810,exact,exact
UNI00889,QS,1012,THE,811,exact,exact
UNI01068,QS,1014,THE,1214,exact,exact
UNI01034,QS,1015,THE,1216,exact,exact
UNI01070,QS,1016,THE,2004,exact,exact
UNI01071,QS,1017,THE,1543,exact,exact
UNI00691,QS,1018,THE,616,exact,exact
UNI00695,QS,1019,THE,619,exact,exact
UNI00571,QS,1024,THE,623,exact,exact
UNI00897,QS,1025,THE,824,exact,exact
UNI01077,QS,1027,THE,1028,exact,exact
UNI01079,QS,1029,THE,1033,exact,exact
UNI01080,QS,1030,THE,1245,exact,exact
UNI01085,QS,1034,THE,1597,exact,exact
UNI01086,QS,1035,THE,1258,exact,exact
UNI01093,QS,1042,THE,2168,exact,exact
UNI01095,QS,1044,THE,1287,exact,exact
UNI00732,QS,1045,THE,657,exact,exact
UNI01097,QS,1047,THE,2192,exact,exact
UNI00415,QS,1048,THE,872,exact,exact
UNI01098,QS,1049,THE,1301,exact,exact
UNI01102,QS,1052,THE,2230,exact,exact
UNI01106,QS,1055,THE,1321,exact,exact
UNI01107,QS,1056,THE,1322,exact,exact
UNI01109,QS,1058,THE,2271,exact,exact
UNI01112,QS,1061,THE,1691,exact,exact
UNI01113,QS,1062,THE,1333,exact,exact
UNI00928,QS,1064,THE,910,exact,exact
UNI01117,QS,1066,THE,1336,exact,exact
UNI00780,QS,1067,THE,919,exact,exact
UNI01118,QS,1068,THE,1719,exact,exact
UNI00783,QS,1069,THE,711,exact,exact
UNI01120,QS,1071,THE,1737,exact,exact
UNI01121,QS,1072,THE,1359,exact,exact
UNI00816,QS,1081,THE,743,exact,exact
UNI00827,QS,1088,THE,962,exact,exact
UNI00990,QS,1092,THE,969,exact,exact
UNI01140,QS,1093,THE,1158,exact,exact
UNI01143,QS,1095,THE,1424,exact,exact
UNI01144,QS,1096,THE,1845,exact,exact
UNI01145,QS,1097,THE,1428,exact,exact
UNI01001,QS,1101,THE,1173,exact,exact
UNI01149,QS,1102,THE,1174,exact,exact
UNI01151,QS,1103,THE,1452,exact,exact
UNI01152,QS,1104,THE,1863,exact,exact
UNI01153,QS,1105,THE,1870,exact,exact
UNI01159,QS,1109,THE,1461,exact,exact
UNI01160,QS,1110,THE,1462,exact,exact
UNI01161,QS,1111,THE,1465,exact,exact
UNI01183,QS,1131,THE,1887,exact,exact
UNI01184,QS,1132,THE,1650,exact,exact
UNI01203,QS,1150,THE,1412,exact,exact
UNI01114,QS,1160,THE,1340,exact,exact
UNI01213,QS,1161,THE,1883,exact,exact
UNI01156,QS,1162,THE,1107,exact,exact
UNI01214,QS,1163,THE,1186,exact,exact
UNI00708,QS,1166,THE,1034,exact,exact
UNI00721,QS,1167,THE,641,exact,exact
UNI00883,QS,1168,THE,853,exact,exact
UNI01217,QS,1169,THE,1300,exact,exact
UNI01220,QS,1171,THE,1673,exact,exact
UNI00789,QS,1175,THE,1363,exact,exact
UNI00798,QS,1178,THE,727,exact,exact
UNI01227,QS,1180,THE,1768,exact,exact
UNI01228,QS,1181,THE,1787,exact,exact
UNI01229,QS,1182,THE,1807,exact,exact
UNI00821,QS,1183,THE,954,exact,exact
UNI00829,QS,1184,THE,755,exact,exact
UNI00893,QS,1189,THE,862,exact,exact
UNI00666,QS,1190,THE,587,exact,exact
UNI00856,QS,1191,THE,780,exact,exact
UNI00868,QS,1195,THE,794,exact,exact
UNI00873,QS,1196,THE,797,exact,exact
UNI01237,QS,1199,THE,1483,exact,exact
UNI01233,QS,1201,THE,1192,exact,exact
UNI01240,QS,1203,THE,1497,exact,exact
UNI01205,QS,1204,THE,1499,exact,exact
UNI01241,QS,1205,THE,1901,exact,exact
UNI01242,QS,1206,THE,1708,exact,exact
UNI00841,QS,1208,THE,805,exact,exact
UNI01244,QS,1209,THE,1518,exact,exact
