University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,female_percentage,male_percentage,overall_score_min,overall_score_max,overall_score_mid,rank_type,rank_numeric
62,Australian National University,Australia,16758,14.6,51.0,52 : 48,69.0,51.3,69.2,81.8,45.6,96.0,52,48,69.0,69.0,69.0,Exact,62
63,"University of California, Davis",United States,37639,13.1,18.0,60 : 40,68.5,59.7,66.3,80.9,52.4,68.7,60,40,68.5,68.5,68.5,Exact,63
64,"University of California, Santa Barbara",United States,25860,28.5,20.0,54 : 46,68.4,44.6,61.5,96.2,80.1,76.0,54,46,68.4,68.4,68.4,Exact,64
65,University of Southern California,United States,40549,12.6,22.0,49 : 51,68.3,58.9,58.6,90.4,43.8,63.7,49,51,68.3,68.3,68.3,Exact,65
66,Utrecht University,Netherlands,32532,17.1,13.0,62 : 38,68.2,44.3,66.0,91.2,72.7,78.8,62,38,68.2,68.2,68.2,Exact,66
67,Zhejiang University,,46124,12.0,16.0,,68.1,67.3,74.8,62.8,100.0,55.1,,,68.1,68.1,68.1,Exact,67
68,Kyoto University,Japan,22269,9.2,12.0,25 : 75,68.0,77.5,79.1,52.3,88.6,40.5,25,75,68.0,68.0,68.0,Exact,68
69,University of North Carolina at Chapel Hill,United States,31080,7.9,8.0,59 : 41,67.8,58.9,59.7,93.3,46.0,41.7,59,41,67.8,67.8,67.8,Exact,69
70,Delft University of Technology,Netherlands,20299,16.1,31.0,31 : 69,67.7,58.8,76.4,59.1,93.4,94.2,31,69,67.7,67.7,67.7,Exact,70
71,Boston University,United States,27243,10.8,31.0,59 : 41,67.5,55.9,56.1,92.9,41.1,65.9,59,41,67.5,67.5,67.5,Exact,71
71,UNSW Sydney,,45133,36.3,40.0,47 : 53,67.5,51.1,59.0,85.9,63.5,95.1,47,53,67.5,67.5,67.5,Exact,71
73,Charité - Universitätsmedizin Berlin,Germany,8429,18.0,21.0,64 : 36,67.2,48.5,52.2,98.8,87.1,69.3,64,36,67.2,67.2,67.2,Exact,73
74,University of Science and Technology of China,,18573,8.1,6.0,,67.1,65.0,64.9,78.8,69.4,36.9,,,67.1,67.1,67.1,Exact,74
75,University of Groningen,,30009,24.4,28.0,52 : 48,66.6,45.4,57.6,90.4,75.8,89.8,52,48,66.6,66.6,66.6,Exact,75
76,University of Bristol,,25680,14.6,31.0,56 : 44,66.5,43.8,53.4,98.6,43.5,89.4,56,44,66.5,66.5,66.5,Exact,76
77,Leiden University,,33648,19.3,20.0,60 : 40,66.4,43.2,64.4,86.6,68.4,85.4,60,40,66.4,66.4,66.4,Exact,77
78,Yonsei University (Seoul campus),,19481,14.7,17.0,50 : 50,66.3,67.0,68.9,63.9,94.8,52.8,50,50,66.3,66.3,66.3,Exact,78
79,Hong Kong Polytechnic University,,19046,28.9,30.0,51 : 49,65.8,46.6,57.0,86.7,56.0,97.6,51,49,65.8,65.8,65.8,Exact,79
80,Erasmus University Rotterdam,,31668,33.9,22.0,53 : 47,65.7,38.6,57.1,95.6,64.4,89.7,53,47,65.7,65.7,65.7,Exact,80
81,University of Wisconsin-Madison,United States,40701,10.0,14.0,,65.5,59.7,62.9,78.7,48.4,51.8,,,65.5,65.5,65.5,Exact,81
82,Emory University,United States,13190,4.2,20.0,60 : 40,65.3,54.8,46.0,98.0,48.6,59.8,60,40,65.3,65.3,65.3,Exact,82
82,University of Glasgow,,28540,13.5,41.0,59 : 41,65.3,43.3,50.8,96.5,41.9,93.8,59,41,65.3,65.3,65.3,Exact,82
82,University of Zurich,Switzerland,25003,13.7,22.0,56 : 44,65.3,51.5,50.7,87.5,57.6,93.0,56,44,65.3,65.3,65.3,Exact,82
85,McMaster University,,26403,29.0,20.0,56 : 44,65.1,42.7,51.1,94.6,89.9,84.7,56,44,65.1,65.1,65.1,Exact,85
86,Humboldt University of Berlin,Germany,34399,53.2,17.0,,64.9,55.2,64.3,75.6,42.8,70.5,,,64.9,64.9,64.9,Exact,86
86,University of Tübingen,Germany,20620,27.5,13.0,59 : 41,64.9,51.1,58.2,84.5,79.9,64.1,59,41,64.9,64.9,64.9,Exact,86
88,University of Adelaide,,23102,32.8,32.0,49 : 51,64.7,42.7,51.8,92.2,65.3,93.6,49,51,64.7,64.7,64.7,Exact,88
89,University of Bonn,Germany,27210,47.5,17.0,56 : 44,64.6,51.6,56.1,86.0,55.0,68.7,56,44,64.6,64.6,64.6,Exact,89
90,Sorbonne University,France,41443,13.9,21.0,59 : 41,64.5,58.7,58.3,76.6,40.0,72.3,59,41,64.5,64.5,64.5,Exact,90
