university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
Jazan University,jazan university,Saudi Arabia,saudi arabia,,34.8,21.0,9.9,67.3,19.4,77.4,12.4,4.0,60.0,U1902
Jeonbuk National University,jeonbuk national university,South Korea,south korea,,34.8,30.2,27.3,45.0,68.1,34.1,19.6,7.0,46.0,U0685
Jiangnan University,jiangnan university,China,china,,34.8,24.7,22.4,60.2,76.6,24.0,12.9,1.0,53.0,U1048
Jordan University of Science and Technology,jordan university of science and technology,Jordan,jordan,,34.8,19.8,13.6,67.3,40.8,61.1,13.3,17.0,56.0,U1903
JSS Academy of Higher Education and Research,jss academy of higher education and research,India,india,,34.8,39.7,10.6,51.9,22.0,51.8,9.5,8.0,58.0,U1904
Kafrelsheikh University,kafrelsheikh university,Egypt,egypt,,34.8,14.7,9.1,76.2,20.0,51.9,28.7,2.0,48.0,U1905
Kalasalingam Academy of Research and Education,kalasalingam academy of research and education,India,india,,34.8,29.1,8.9,74.8,19.9,30.3,7.5,4.0,55.0,U1906
Kaohsiung Medical University,kaohsiung medical university,Taiwan,taiwan,,34.8,26.4,26.1,44.0,81.3,28.7,12.2,5.0,59.0,U1907
Kazan Federal University,kazan federal university,Russian Federation,russian federation,,34.8,44.7,21.7,32.3,42.6,69.2,10.8,33.0,67.0,U1908
King Faisal University,king faisal university,Saudi Arabia,saudi arabia,,34.8,19.9,12.2,68.0,31.4,75.5,14.5,2.0,60.0,U0766
King Mongkut’s University of Technology Thonburi,king mongkut’s university of technology thonburi,Thailand,thailand,,34.8,21.5,22.1,59.5,71.0,43.3,20.4,4.0,45.0,U1909
Kingston University,kingston university,United Kingdom,united kingdom,,34.8,20.0,15.3,53.2,52.2,91.3,18.9,40.0,59.0,U1910
K.N. Toosi University of Technology,k.n. toosi university of technology,Iran,iran,,34.8,22.6,21.0,60.2,34.8,35.7,23.1,1.0,34.0,U1911
Kore University of Enna,kore university of enna,Italy,italy,,34.8,18.0,12.3,71.3,40.9,37.3,16.0,1.0,68.0,U1912
Kumamoto University,kumamoto university,Japan,japan,,34.8,33.6,19.6,40.9,77.5,36.5,9.8,6.0,39.0,U0968
University of Kurdistan,university of kurdistan,Iran,iran,,34.8,16.8,14.7,70.8,19.0,35.9,32.2,4.0,54.0,U1913
Kyoto Prefectural University of Medicine,kyoto prefectural university of medicine,Japan,japan,,34.8,33.6,16.0,47.8,68.2,20.1,3.2,1.0,47.0,U1914
University of Lahore,university of lahore,Pakistan,pakistan,,34.8,17.6,10.2,68.8,20.3,52.6,13.5,2.0,38.0,U1915
Lahore University of Management Sciences,lahore university of management sciences,Pakistan,pakistan,,34.8,23.3,16.7,60.2,43.1,53.0,14.2,2.0,43.0,U1916
Lakehead University,lakehead university,Canada,canada,,34.8,17.6,24.0,51.4,48.7,59.2,25.0,19.0,56.0,U1917
Lebanese University,lebanese university,Lebanon,lebanon,,34.8,42.8,22.3,23.6,17.7,78.8,14.6,16.0,70.0,U0568
Leeds Beckett University,leeds beckett university,United Kingdom,united kingdom,,34.8,17.7,16.2,65.0,49.9,67.3,21.9,15.0,54.0,U1054
Lithuanian University of Health Sciences,lithuanian university of health sciences,Lithuania,lithuania,,34.8,27.1,12.6,55.5,25.5,52.9,9.2,23.0,74.0,U1918
University of Ljubljana,university of ljubljana,Slovenia,slovenia,,34.8,24.5,20.1,54.6,69.8,42.4,13.8,9.0,60.0,U0599
