University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
Ulster University,United Kingdom,559.0,22.3,8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8,62.2,6.218487394957983,706.0,40.333,21.7,22.4,63.2,52.7,84.9,18805.0,18.3,12.0,57 : 43,2025,66.28407460545193,57,43
Umea University,Sweden,456.0,26.3,19.9,11.6,71.8,15.2,51.1,21.8,78.0,9.0,26.3,23.52941176470588,401.0,49.354,29.1,32.8,79.9,62.0,64.1,13648.0,9.9,8.0,62 : 38,2025,80.87039693926351,62,38
Umm Al Qura University,Saudi Arabia,559.0,22.3,20.7,12.8,54.7,2.2,100.0,16.0,59.7,6.7,3.1,6.218487394957983,475.0,46.782,35.2,24.1,75.4,35.1,71.8,32557.0,12.2,8.0,54 : 46,2025,77.33142037302726,54,46
United Arab Emirates University,United Arab Emirates,261.0,39.4,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,56.30252100840336,252.0,55.732,28.4,37.3,88.9,81.3,88.2,9024.0,13.9,18.0,73 : 27,2025,87.99617407938786,73,27
Università Cattolica del Sacro Cuore,Italy,442.0,26.8,24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3,54.8,25.882352941176475,308.0,53.2825,36.5,31.6,88.8,77.4,48.2,25590.0,34.6,6.0,54 : 46,2025,85.31802965088474,54,46
Universitas Padjadjaran,Indonesia,596.0,20.8,19.0,41.6,41.4,1.4,34.8,2.2,19.6,33.4,21.3,0.0,1522.0,24.874,31.0,12.2,25.3,25.4,47.8,32629.0,9.0,3.0,62 : 38,2025,27.259684361549496,62,38
Universitat Autònoma de Barcelona,Spain,175.0,49.2,64.0,35.8,11.5,59.5,18.5,16.5,93.1,24.0,86.7,70.75630252100841,201.0,58.645,43.9,42.4,84.1,72.4,70.3,32795.0,13.1,15.0,61 : 39,2025,90.43519846963176,61,39
Universitat Ramon Llull,Spain,466.0,25.7,11.0,52.0,8.7,8.1,93.6,43.1,32.6,71.7,20.1,21.84873949579832,837.0,37.5355,19.8,17.2,65.5,34.1,75.9,16113.0,20.6,23.0,46 : 54,2025,60.01912960306074,46,54
Université catholique de Louvain,Belgium,203.0,46.0,48.4,25.9,4.6,55.0,91.0,47.6,89.9,76.4,27.1,66.05042016806722,175.0,60.234,39.4,49.4,81.1,94.0,82.6,27440.0,39.9,20.0,55 : 45,2025,91.67862266857962,55,45
Université de Montréal,Canada,159.0,51.3,55.5,32.8,76.0,19.3,87.6,54.1,84.9,54.2,91.4,73.44537815126051,125.0,64.2435,49.3,53.2,79.5,97.8,86.8,39359.0,20.2,23.0,,2025,94.06982305117168,,
