university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0109,technical university of denmark,Denmark,,,,,,,,,
U0110,university of zurich,Switzerland,,,,,,,,,
U0111,politecnico di milano,Italy,,,,,,,,,
U0112,boston university,United States,,,,,,,,,
U0113,aalto university,Finland,,,,,,,,,
U0114,georgia institute of technology,United States,,,,,,,,,
U0115,university of waterloo,Canada,,,,,,,,,
U0116,university of wisconsin-madison,United States,,,,,,,,,
U0117,university of helsinki,Finland,,,,,,,,,
U0118,indian institute of technology bombay (iitb),India,,,,,,,,,
U0119,university of oslo,Norway,,,,,,,,,
U0120,queen mary university of london,United Kingdom,,,,,,,,,
U0121,western university,Canada,,,,,,,,,
U0122,qatar university,Qatar,,,,,,,,,
U0123,rmit university,Australia,,,,,,,,,
U0124,sungkyunkwan university(skku),South Korea,,,,,,,,,
U0125,university of southern california,United States,,,,,,,,,
U0126,humboldt-universität zu berlin,Germany,,,,,,,,,
U0127,university college dublin,Ireland,,,,,,,,,
U0128,stockholm university,Sweden,,,,,,,,,
U0129,newcastle university,United Kingdom,,,,,,,,,
U0130,"university of california, davis",United States,,,,,,,,,
U0131,university of basel,Switzerland,,,,,,,,,
U0132,sapienza university of rome,Italy,,,,,,,,,
U0133,alma mater studiorum - university of bologna,Italy,,,,,,,,,
U0134,macquarie university,Australia,,,,,,,,,
U0135,university of science and technology of china,China (Mainland),,,,,,,,,
U0136,eindhoven university of technology,Netherlands,,,,,,,,,
U0137,university of vienna,Austria,,,,,,,,,
U0138,universiti kebangsaan malaysia (ukm),Malaysia,,,,,,,,,
U0139,chalmers university of technology,Sweden,,,,,,,,,
U0140,universidad de chile,Chile,,,,,,,,,
U0141,lancaster university,United Kingdom,,,,,,,,,
U0142,leiden university,Netherlands,,,,,,,,,
U0143,rice university,United States,,,,,,,,,
U0144,aarhus university,Denmark,,,,,,,,,
U0145,nanjing university,China (Mainland),,,,,,,,,
U0146,universiti sains malaysia (usm),Malaysia,,,,,,,,,
U0147,technische universität berlin (tu berlin),Germany,,,,,,,,,
U0148,universiti putra malaysia (upm),Malaysia,,,,,,,,,
U0149,king abdulaziz university (kau),Saudi Arabia,,,,,,,,,
U0150,indian institute of technology delhi (iitd),India,,,,,,,,,
U0151,university of bath,United Kingdom,,,,,,,,,
U0152,michigan state university,United States,,,,,,,,,
U0153,nagoya university,Japan,,,,,,,,,
U0154,texas a&m university,United States,,,,,,,,,
U0155,university of geneva,Switzerland,,,,,,,,,
U0156,"university of north carolina, chapel hill",United States,,,,,,,,,
U0157,wageningen university & research,Netherlands,,,,,,,,,
U0158,erasmus university rotterdam,Netherlands,,,,,,,,,
U0159,université de montréal,Canada,,,,,,,,,
U0160,university of groningen,Netherlands,,,,,,,,,
U0161,university of bern,Switzerland,,,,,,,,,
