university_id,university_name,country_code,country_name,country_name_canonical,wb_country_code,wb_region,wb_income_group
U0227,indian institute of technology madras (iitm),IN,India,india,IND,South Asia,Lower middle income
U0228,rheinische friedrich-wilhelms-universität bonn,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0229,chulalongkorn university,TH,Thailand,thailand,THA,East Asia & Pacific,Upper middle income
U0230,maastricht university,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0231,universite libre de bruxelles,BE,Belgium,belgium,BEL,Europe & Central Asia,High income: OECD
U0232,universidade estadual de campinas (unicamp),BR,Brazil,brazil,BRA,Latin America & Caribbean,Upper middle income
U0233,university of twente,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0234,technische universität dresden,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0235,university of waikato,NZ,New Zealand,new zealand,NZL,East Asia & Pacific,High income: OECD
U0236,università di padova,IT,Italy,italy,ITA,Europe & Central Asia,High income: OECD
U0237,university of aberdeen,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0238,university of rochester,US,United States,united states,USA,North America,High income: OECD
U0239,gadjah mada university,ID,Indonesia,indonesia,IDN,East Asia & Pacific,Lower middle income
U0240,massey university,NZ,New Zealand,new zealand,NZL,East Asia & Pacific,High income: OECD
U0241,politecnico di torino,IT,Italy,italy,ITA,Europe & Central Asia,High income: OECD
U0242,technical university of darmstadt,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0243,dartmouth college,US,United States,united states,USA,North America,High income: OECD
U0244,victoria university of wellington,NZ,New Zealand,new zealand,NZL,East Asia & Pacific,High income: OECD
U0245,university of macau,MO,Macau SAR,macau sar,MAC,East Asia & Pacific,High income: nonOECD
U0246,charles university,CZ,Czech Republic,czech republic,CZE,Europe & Central Asia,High income: OECD
U0247,university of sussex,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0248,vanderbilt university,US,United States,united states,USA,North America,High income: OECD
U0249,university of navarra,ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0250,american university of beirut (aub),LB,Lebanon,lebanon,LBN,Middle East & North Africa,Upper middle income
U0251,taylor's university,MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0252,harbin institute of technology,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0253,hong kong baptist university,HK,Hong Kong SAR,hong kong,HKG,East Asia & Pacific,High income: nonOECD
U0254,university of göttingen,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0255,griffith university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0256,bandung institute of technology (itb),ID,Indonesia,indonesia,IDN,East Asia & Pacific,Lower middle income
U0257,heriot-watt university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0258,university of warsaw,PL,Poland,poland,POL,Europe & Central Asia,High income: OECD
U0259,case western reserve university,US,United States,united states,USA,North America,High income: OECD
U0260,university of lisbon,PT,Portugal,portugal,PRT,Europe & Central Asia,High income: OECD
U0261,canadian university dubai,AE,United Arab Emirates,united arab emirates,ARE,Middle East & North Africa,High income: nonOECD
U0262,university of canterbury | te whare wananga o waitaha,NZ,New Zealand,new zealand,NZL,East Asia & Pacific,High income: OECD
U0263,indian institute of technology kanpur (iitk),IN,India,india,IND,South Asia,Lower middle income
U0264,norwegian university of science and technology,NO,Norway,norway,NOR,Europe & Central Asia,High income: OECD
U0265,ucsi university,MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0266,universitat pompeu fabra (barcelona),ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0267,university of antwerp,BE,Belgium,belgium,BEL,Europe & Central Asia,High income: OECD
U0268,university of witwatersrand,ZA,South Africa,south africa,ZAF,Sub-Saharan Africa,Upper middle income
U0269,tianjin university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0270,universiti teknologi petronas (utp),MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0271,beijing normal university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0272,radboud university,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0273,university college cork,IE,Ireland,ireland,IRL,Europe & Central Asia,High income: OECD
U0274,university of galway,IE,Ireland,ireland,IRL,Europe & Central Asia,High income: OECD
U0275,dalhousie university,CA,Canada,canada,CAN,North America,High income: OECD
U0276,university of massachusetts amherst,US,United States,united states,USA,North America,High income: OECD
U0277,university of pittsburgh,US,United States,united states,USA,North America,High income: OECD
U0278,university of porto,PT,Portugal,portugal,PRT,Europe & Central Asia,High income: OECD
U0279,vrije universiteit brussel (vub),BE,Belgium,belgium,BEL,Europe & Central Asia,High income: OECD
U0280,ulsan national institute of science and technology (unist),KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0281,the hebrew university of jerusalem,IL,Israel,israel,ISR,Middle East & North Africa,High income: OECD
U0282,university of strathclyde,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0283,université paris 1 panthéon-sorbonne,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0284,southern university of science and technology,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0285,middle east technical university,TR,Turkey,turkey,TUR,Europe & Central Asia,Upper middle income
U0286,universidad carlos iii de madrid (uc3m),ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0287,university of cologne,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0288,university of leicester,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0289,university of milan,IT,Italy,italy,ITA,Europe & Central Asia,High income: OECD
U0290,university of surrey,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0291,swinburne university of technology,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0292,university of bergen,NO,Norway,norway,NOR,Europe & Central Asia,High income: OECD
U0293,the university of arizona,US,United States,united states,USA,North America,High income: OECD
U0294,university of tasmania,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0295,xian jiaotong university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0296,stellenbosch university,ZA,South Africa,south africa,ZAF,Sub-Saharan Africa,Upper middle income
U0297,university of virginia,US,United States,united states,USA,North America,High income: OECD
U0298,bauman moscow state technical university,RU,Russia,russia,RUS,Europe & Central Asia,High income: nonOECD
