University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
119,Lund University,Sweden,"28,545",11.5,18%,55 : 45,61.0,40.5,55.5,81.0,79.5,78.5,lund university,sweden,C098,U0120
121,Vrije Universiteit Amsterdam,Netherlands,"29,796",19.8,16%,56 : 44,60.9,38.4,52.2,87.5,59.1,79.4,vrije universiteit amsterdam,netherlands,C071,U0121
122,Lancaster University,United Kingdom,"14,380",12.8,39%,51 : 49,60.8,38.7,40.0,96.9,38.3,94.9,lancaster university,united kingdom,C109,U0122
123,Dartmouth College,United States,"6,440",7.8,15%,49 : 51,60.7,59.8,40.4,88.2,40.0,42.0,dartmouth college,united states,C110,U0123
124,Queen Mary University of London,United Kingdom,"20,505",13.1,46%,55 : 45,60.4,34.3,41.3,97.7,44.0,97.1,queen mary university of london,united kingdom,C109,U0124
124,University of Vienna,Austria,"35,929",42.9,29%,66 : 34,60.4,49.4,59.3,65.1,44.8,95.8,university of vienna,austria,C006,U0125
126,University of Oslo,Norway,"21,548",13.3,15%,66 : 34,60.2,40.1,48.5,89.0,44.5,77.0,university of oslo,norway,C075,U0126
127,Purdue University West Lafayette,United States,"44,551",16.9,20%,44 : 56,60.1,55.9,64.2,56.9,67.8,71.1,purdue university west lafayette,united states,C110,U0127
128,University of Hamburg,Germany,"30,676",61.5,12%,58 : 42,59.8,46.5,54.4,75.4,96.1,60.4,university of hamburg,germany,C033,U0128
128,University of Leeds,United Kingdom,"33,990",14.6,36%,60 : 40,59.8,46.0,47.8,79.3,40.5,91.8,university of leeds,united kingdom,C109,U0129
130,University of Nottingham,United Kingdom,"32,875",15.1,31%,54 : 46,59.6,41.8,44.1,86.6,41.7,90.4,university of nottingham,united kingdom,C109,U0130
131,University of Antwerp,Belgium,"15,857",32.2,17%,56 : 44,59.4,36.4,46.2,90.4,83.5,71.8,university of antwerp,belgium,C009,U0131
131,The University of Western Australia,Australia,"18,405",21.3,28%,49 : 51,59.4,34.9,48.1,85.6,69.2,94.4,the university of western australia,australia,C005,U0132
133,University of Technology Sydney,,"27,481",35.1,31%,50 : 50,59.3,36.9,42.1,90.5,49.7,96.0,university of technology sydney,,,U0133
134,Case Western Reserve University,United States,"10,934",8.2,20%,51 : 49,59.0,48.4,40.6,90.7,43.4,52.9,case western reserve university,united states,C110,U0134
135,University of Lausanne,Switzerland,"13,401",10.2,23%,,58.7,35.8,47.6,83.0,72.3,92.3,university of lausanne,switzerland,C099,U0135
136,Georgetown University,United States,"16,074",8.0,19%,54 : 46,58.6,55.5,35.0,88.0,54.0,49.1,georgetown university,united states,C110,U0136
137,University of Exeter,United Kingdom,"24,165",15.9,29%,53 : 47,58.5,32.4,41.3,94.8,39.2,92.7,university of exeter,united kingdom,C109,U0137
137,University of Ottawa,,"36,670",26.0,24%,58 : 42,58.5,41.7,45.4,82.6,51.0,84.1,university of ottawa,,,U0138
139,University of Auckland,New Zealand,"33,093",22.1,32%,56 : 44,58.4,36.8,44.3,85.4,56.4,94.3,university of auckland,new zealand,C072,U0139
139,Newcastle University,,"25,590",15.1,29%,52 : 48,58.4,33.3,40.0,96.0,41.8,87.8,newcastle university,,,U0140
139,Radboud University Nijmegen,,"21,979",17.6,13%,56 : 44,58.4,34.9,51.6,85.5,48.0,74.7,radboud university nijmegen,,,U0141
139,University of WÃ¼rzburg,Germany,"23,754",40.7,10%,58 : 42,58.4,40.7,45.2,87.8,79.4,57.3,university of wã¼rzburg,germany,C033,U0142
139,University of York,United Kingdom,"17,665",14.4,28%,56 : 44,58.4,39.3,44.0,85.9,38.4,88.7,university of york,united kingdom,C109,U0143
144,University of Pittsburgh-Pittsburgh campus,United States,"26,575",5.5,11%,55 : 45,58.3,46.2,42.9,90.6,44.2,43.4,university of pittsburghpittsburgh campus,united states,C110,U0144
145,Maastricht University,Netherlands,"19,909",18.6,56%,60 : 40,58.2,38.4,49.6,75.5,73.2,98.1,maastricht university,netherlands,C071,U0145
146,University of Cologne,Germany,"33,341",30.4,16%,,58.0,44.5,46.5,80.0,77.3,64.4,university of cologne,germany,C033,U0146
147,Rice University,United States,"7,068",9.2,28%,43 : 57,57.9,46.5,39.7,84.4,44.5,75.3,rice university,united states,C110,U0147
148,University of Colorado Boulder,United States,"34,928",16.0,8%,45 : 55,57.8,45.6,46.3,85.5,44.6,45.6,university of colorado boulder,united states,C110,U0148
148,Ulm University,Germany,"10,271",26.2,13%,51 : 49,57.8,41.6,41.2,89.3,77.6,56.1,ulm university,germany,C033,U0149
148,Uppsala University,Sweden,"25,548",15.3,17%,62 : 38,57.8,37.6,55.7,75.2,71.5,72.6,uppsala university,sweden,C098,U0150
151,University of Florida,United States,"46,807",16.1,8%,56 : 44,57.7,55.0,58.7,64.2,51.4,41.4,university of florida,united states,C110,U0151
