University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
29,University of Edinburgh,United Kingdom,"32,845",11.8,47%,62 : 38,79.8,66.9,74.5,97.1,40.9,95.6,university of edinburgh,united kingdom,C109,U0029
30,Technical University of Munich,,"33,960",40.6,36%,37 : 63,79.3,69.8,82.2,84.5,100.0,77.7,technical university of munich,,,U0030
31,University of Hong Kong,,"18,087",18.2,43%,54 : 46,78.5,65.6,74.1,92.4,60.6,98.7,university of hong kong,,,U0031
32,"University of California, San Diego",United States,"37,030",11.3,28%,48 : 52,78.1,60.2,77.2,98.2,93.0,67.8,university of california san diego,united states,C110,U0032
33,LMU Munich,,"35,003",34.2,19%,61 : 39,77.7,67.3,78.3,87.4,100.0,70.5,lmu munich,,,U0033
34,University of Melbourne,Australia,"49,588",23.8,47%,58 : 42,77.6,67.1,75.9,85.8,78.1,93.6,university of melbourne,australia,C005,U0034
35,Kingâs College London,United Kingdom,"28,965",11.8,52%,63 : 37,77.1,58.0,72.9,98.2,45.6,96.1,kingâs college london,united kingdom,C109,U0035
36,"Nanyang Technological University, Singapore",Singapore,"24,651",15.1,25%,48 : 52,77.0,60.9,77.9,87.2,84.5,94.5,nanyang technological university singapore,singapore,C089,U0036
37,London School of Economics and Political Science,United Kingdom,"11,120",11.9,73%,55 : 45,76.5,59.2,74.3,95.1,37.8,92.8,london school of economics and political science,united kingdom,C109,U0037
38,Georgia Institute of Technology,United States,"28,826",24.7,40%,33 : 67,76.0,60.2,75.9,91.4,64.9,81.2,georgia institute of technology,united states,C110,U0038
39,The University of Tokyo,Japan,"26,112",10.5,15%,,75.9,88.1,91.4,55.5,86.7,43.3,the university of tokyo,japan,C047,U0039
40,University of British Columbia,Canada,"56,452",18.9,34%,55 : 45,75.7,62.9,73.1,88.8,47.9,94.8,university of british columbia,canada,C015,U0040
41,Ãcole Polytechnique FÃ©dÃ©rale de Lausanne,Switzerland,"11,641",12.3,62%,30 : 70,75.4,65.6,70.7,84.5,71.7,98.0,ãcole polytechnique fãdãrale de lausanne,switzerland,C099,U0041
42,KU Leuven,,"47,663",36.5,18%,51 : 49,74.6,59.7,74.9,86.7,99.2,76.8,ku leuven,,,U0042
43,UniversitÃ¤t Heidelberg,,"19,347",13.5,21%,55 : 45,74.1,67.2,61.5,96.0,55.7,71.2,universitãt heidelberg,,,U0043
44,Monash University,Australia,"58,725",42.5,41%,57 : 43,73.6,56.9,68.7,90.4,78.4,91.0,monash university,australia,C005,U0044
45,Chinese University of Hong Kong,,"18,468",19.0,21%,,73.2,59.1,61.1,95.7,60.9,92.5,chinese university of hong kong,,,U0045
46,McGill University,,"32,309",12.5,30%,60 : 40,73.0,62.0,72.4,82.5,43.5,91.0,mcgill university,,,U0046
47,Paris Sciences et Lettres â PSL Research University Paris,France,"16,218",15.0,22%,51 : 49,72.9,68.2,73.5,75.5,78.8,76.3,paris sciences et lettres â psl research university paris,france,C031,U0047
48,University of Illinois at Urbana-Champaign,United States,"48,674",17.4,22%,48 : 52,72.7,67.1,78.9,78.1,50.1,56.2,university of illinois at urbanachampaign,united states,C110,U0048
