university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025,normalized_university_name,normalized_openalex_name,name_similarity,country_match,publication_match_status
U2490,Kocaeli University,Turkey,,,,,,,,,,kocaeli university,,0.0,False,Unmatched
U2491,Kochi University,Japan,,,,,,,,,,kochi university,,0.0,False,Unmatched
U2492,Kochi University of Technology,Japan,,,,,,,,,,kochi university of technology,,0.0,False,Unmatched
U2493,Kogakuin University,Japan,,,,,,,,,,kogakuin university,,0.0,False,Unmatched
U2494,Universiti Kuala Lumpur,Malaysia,,,,,,,,,,universiti kuala lumpur,,0.0,False,Unmatched
U2495,Kyoto Sangyo University,Japan,,,,,,,,,,kyoto sangyo university,,0.0,False,Unmatched
U2496,Ladoke Akintola University of Technology,Nigeria,,,,,,,,,,ladoke akintola university of technology,,0.0,False,Unmatched
U2497,University of Laghouat,Algeria,,,,,,,,,,university of laghouat,,0.0,False,Unmatched
U2498,Lagos State University,Nigeria,,,,,,,,,,lagos state university,,0.0,False,Unmatched
U2499,Lahore College for Women University (LCWU),Pakistan,,,,,,,,,,lahore college for women university,,0.0,False,Unmatched
U2500,Latvia University of Life Sciences and Technologies,Latvia,,,,,,,,,,latvia university of life sciences and technologies,,0.0,False,Unmatched
U2501,University of Life Sciences in Lublin,Poland,,,,,,,,,,university of life sciences in lublin,,0.0,False,Unmatched
