world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year,university_id
203.0,Laval University,9-17,,0.0,0.0,15.7,11.4,37.2,17.8,2005,UNI_00097
203.0,London School of Economics and Political Science,20-30,,19.8,0.0,15.7,,26.1,16.2,2005,UNI_00884
203.0,Louisiana State University - Baton Rouge,91-119,,0.0,0.0,13.6,11.8,39.0,15.6,2005,UNI_01210
203.0,Macquarie University,7-9,,0.0,0.0,13.6,15.9,25.6,17.9,2005,UNI_00027
203.0,Monash University,7-9,,0.0,0.0,7.9,15.4,44.6,14.7,2005,UNI_00015
203.0,National and Kapodistrian University of Athens,1,,0.0,0.0,7.9,5.9,40.1,17.5,2005,UNI_00413
203.0,Newcastle University,20-30,,0.0,0.0,11.1,20.1,37.8,18.8,2005,UNI_00941
203.0,Norwegian University of Science and Technology,2,,18.8,0.0,0.0,15.7,30.5,15.6,2005,UNI_00656
203.0,Okayama University,10-13,,0.0,0.0,7.9,10.4,36.0,18.3,2005,UNI_00602
203.0,Paul Sabatier University (Toulouse 3),9-13,,0.0,6.4,7.9,16.9,33.8,16.6,2005,UNI_01276
203.0,Peking University,2,,0.0,0.0,0.0,11.3,52.2,17.2,2005,UNI_00162
203.0,"Queen Mary, U. of London",20-30,,24.3,0.0,15.7,7.4,30.2,16.5,2005,UNI_01277
203.0,Queen's University Belfast,20-30,,23.5,0.0,0.0,10.8,33.5,16.5,2005,UNI_00904
203.0,Radboud University Nijmegen,8-9,,0.0,0.0,7.9,18.8,40.1,19.9,2005,UNI_00638
203.0,Royal Institute of Technology,6-9,,0.0,15.8,7.9,10.9,35.1,17.1,2005,UNI_00808
203.0,RWTH Aachen University,17-23,,6.3,0.0,7.9,7.4,39.0,17.3,2005,UNI_00364
203.0,State University of Campinas,2,,0.0,0.0,7.9,6.2,40.6,17.8,2005,UNI_00067
203.0,State University of New York at Albany,91-119,,0.0,0.0,22.2,9.8,29.1,20.0,2005,UNI_01278
203.0,State University of New York at Buffalo,91-119,,0.0,0.0,15.7,11.5,39.1,16.1,2005,UNI_01279
203.0,Swedish University of Agricultural Sciences,6-9,,0.0,0.0,13.6,17.0,29.9,14.8,2005,UNI_00801
203.0,Syracuse University,91-119,,0.0,0.0,15.7,14.1,26.8,15.2,2005,UNI_01129
203.0,Technical University of Berlin,17-23,,23.5,0.0,11.1,8.9,29.7,15.7,2005,UNI_00343
203.0,The Chinese University of Hong Kong,1-3,,0.0,0.0,13.6,5.1,43.3,21.6,2005,UNI_00417
203.0,The George Washington University,91-119,,15.4,0.0,11.1,12.6,32.9,17.6,2005,UNI_01125
203.0,The Hong Kong University of Science and Technology,1-3,,0.0,0.0,17.6,10.1,34.5,24.6,2005,UNI_00418
203.0,The University of Adelaide,7-9,,10.9,0.0,11.1,12.0,35.2,19.0,2005,UNI_00020
203.0,The University of Auckland,1,,17.7,0.0,11.1,16.3,33.9,17.5,2005,UNI_00649
203.0,The University of Dundee,20-30,,0.0,0.0,13.6,15.1,28.0,14.7,2005,UNI_00911
203.0,The University of Hong Kong,1-3,,0.0,0.0,7.9,10.9,46.3,21.3,2005,UNI_00419
203.0,The University of New Mexico - Albuquerque,91-119,,0.0,0.0,11.1,19.6,36.3,18.9,2005,UNI_01280
203.0,The University of Reading,20-30,,0.0,0.0,13.6,17.9,31.0,16.3,2005,UNI_00906
203.0,The University of Texas Health Science Center at San Antonio,91-119,,0.0,0.0,22.2,9.8,27.7,15.7,2005,UNI_01231
203.0,The University of Texas Medical Branch at Galveston,91-119,,0.0,0.0,19.2,8.5,30.5,15.7,2005,UNI_01179
203.0,Thomas Jefferson University,91-119,,0.0,0.0,15.7,14.5,29.3,15.4,2005,UNI_01233
203.0,Trinity College Dublin,1,,15.4,14.4,0.0,11.9,27.4,14.8,2005,UNI_00468
203.0,Tulane University,91-119,,0.0,0.0,15.7,11.4,30.3,14.5,2005,UNI_01139
203.0,Umea University,6-9,,0.0,0.0,15.7,17.1,31.3,13.6,2005,UNI_01281
203.0,University of Alaska - Fairbanks,91-119,,0.0,0.0,15.7,17.9,19.5,23.1,2005,UNI_00969
203.0,University of Antwerp,5-6,,0.0,0.0,11.1,11.3,33.6,24.3,2005,UNI_00054
203.0,University of Bochum,17-23,,0.0,0.0,11.1,15.0,39.3,18.5,2005,UNI_01282
203.0,University of Bologna,6-9,,0.0,0.0,7.9,10.6,48.9,15.5,2005,UNI_00500
203.0,University of Bordeaux 1,9-13,,8.9,0.0,13.6,11.4,27.0,14.0,2005,UNI_01283
203.0,University of Buenos Aires,1,,21.7,0.0,0.0,9.0,36.6,17.3,2005,UNI_00003
203.0,University of Cape Town,1,,25.1,0.0,11.1,11.1,30.3,16.3,2005,UNI_00716
