university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
University of Belgrade,university of belgrade,Serbia,serbia,,34.8,21.3,27.0,49.4,34.0,42.3,18.2,5.0,62.0
University of Bergamo,university of bergamo,Italy,italy,,34.8,19.4,21.2,59.6,33.3,37.5,54.8,7.0,63.0
"Birla Institute of Technology and Science, Pilani","birla institute of technology and science, pilani",India,india,,34.8,23.7,17.0,67.4,31.7,25.1,16.2,2.0,20.0
BRAC University,brac university,Bangladesh,bangladesh,,34.8,14.8,12.3,71.1,15.7,42.2,16.9,1.0,43.0
Université de Bretagne Occidentale,université de bretagne occidentale,France,france,,34.8,20.3,19.6,52.0,47.8,60.5,33.1,11.0,59.0
University of Brighton,university of brighton,United Kingdom,united kingdom,,34.8,19.8,16.5,53.9,60.9,84.4,18.0,22.0,60.0
Bucharest University of Economic Studies,bucharest university of economic studies,Romania,romania,,34.8,19.7,11.6,75.9,20.8,27.8,16.3,4.0,62.0
Cairo University,cairo university,Egypt,egypt,,34.8,25.0,18.5,59.9,39.2,45.4,30.9,5.0,60.0
University of Camerino (Unicam),university of camerino (unicam),Italy,italy,,34.8,18.0,17.6,58.6,60.0,53.0,30.1,9.0,52.0
Carlos III University of Madrid,carlos iii university of madrid,Spain,spain,,34.8,29.5,20.8,42.9,66.9,60.0,11.2,12.0,47.0
University of Castilla-La Mancha,university of castilla-la mancha,Spain,spain,,34.8,24.2,17.2,53.7,46.3,42.0,12.8,7.0,57.0
Catholic University of Portugal,catholic university of portugal,Portugal,portugal,,34.8,19.6,18.7,64.4,25.6,55.7,22.2,17.0,62.0
Changsha University of Science and Technology,changsha university of science and technology,China,china,,34.8,16.8,13.5,76.5,41.6,27.9,16.0,1.0,36.0
Chapman University,chapman university,United States,united states,,34.8,36.9,14.7,48.1,59.2,46.8,12.0,7.0,61.0
Charles Sturt University,charles sturt university,Australia,australia,,34.8,18.5,17.9,55.1,58.0,66.3,24.6,13.0,63.0
Institute of Chemical Technology,institute of chemical technology,India,india,,34.8,37.5,20.7,51.0,57.9,17.4,17.2,0.0,30.0
Chengdu University,chengdu university,China,china,,34.8,18.5,14.5,74.1,28.5,28.2,16.3,2.0,55.0
Chiang Mai University,chiang mai university,Thailand,thailand,,34.8,28.5,19.1,46.3,58.1,39.5,13.6,4.0,61.0
Chiba University,chiba university,Japan,japan,,34.8,33.2,20.9,42.0,68.9,33.9,8.9,6.0,38.0
University of Chile,university of chile,Chile,chile,,34.8,25.9,19.8,50.5,57.4,52.9,16.4,5.0,51.0
China University of Petroleum (East China),china university of petroleum (east china),China,china,,34.8,22.2,23.0,54.3,68.2,23.8,17.0,2.0,33.0
