University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Alfaisal University,Saudi Arabia,791-800,,4.8,3.0,21.6,10.6,100.0,89.0,19.1,4.4,1.1,501–600,41.9–45.3,24.1,15.2,72.7,42.1,97.7,"3,274",10.8,32%,56 : 44,791.0,501.0,43.599999999999994,U0043,SA,43.599999999999994,10.6,10.8,1:10.8,32%,4.8,28.2
Aligarh Muslim University,India,1001-1200,,11.1,2.8,16.2,12.1,1.0,1.4,46.0,2.7,13.2,601–800,37.0–41.8,41.1,14.0,61.6,34.3,38.2,"20,428",12.0,1%,40 : 60,1001.0,601.0,39.4,U0044,IN,39.4,12.1,12.0,1:12.0,1%,11.1,13.63
Allameh Tabataba ’i University,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,29.1,14.2,28.5,19.0,32.4,"15,113",29.7,3%,57 : 43,,1201.0,25.5,U0045,IR,25.5,28.5,29.7,1:29.7,3%,,17.31
Alma Mater Studiorum - University of Bologna,Italy,133,54.1,80.8,47.8,3.7,46.6,14.5,12.3,96.0,53.8,88.4,,,,,,,,,,,,133.0,,,U0046,IT,54.1,46.6,,,,80.8,27.51
Almaty Technological University,Kazakhstan,951-1000,,6.2,4.2,88.1,1.0,25.0,4.8,2.9,3.3,1.1,,,,,,,,,,,,951.0,,,U0047,KA,,1.0,,,,6.2,13.69
Altai State University,Russian Federation,741-750,,11.7,3.3,87.5,1.4,6.3,60.0,18.8,1.9,10.1,1501+,9.7–22.7,20.5,16.5,15.2,25.2,64.4,"9,271",19.0,27%,56 : 44,741.0,1501.0,16.2,U0048,RU,16.2,1.4,19.0,1:19.0,27%,11.7,18.04
Alzahra University,Iran,,,,,,,,,,,,1501+,9.7–22.7,25.4,15.3,24.6,19.6,31.0,"10,531",28.4,3%,100 : 0,,1501.0,16.2,U0049,IR,16.2,24.6,28.4,1:28.4,3%,,16.36
Amedeo Avogadro University of Eastern Piedmont,Italy,,,,,,,,,,,,601–800,37.0–41.8,12.7,23.5,71.3,47.1,48.2,"14,981",40.8,7%,61 : 39,,601.0,39.4,U0050,IT,39.4,71.3,40.8,1:40.8,7%,,38.97
American University,United States,711-720,,16.2,29.3,32.9,4.3,8.0,19.4,30.6,40.5,4.8,601–800,37.0–41.8,35.2,17.1,57.2,38.5,46.5,"12,771",12.0,12%,62 : 38,711.0,601.0,39.4,U0051,UN,39.4,4.3,12.0,1:12.0,12%,16.2,14.9
The American University in Cairo,Egypt,410,29.0,32.1,31.1,35.5,5.2,97.0,3.8,29.4,75.6,14.6,801–1000,32.7–36.9,26.7,24.0,51.1,23.0,70.3,"6,034",14.2,4%,58 : 42,410.0,801.0,34.8,U0052,EG,29.0,5.2,14.2,1:14.2,4%,32.1,24.55
American University in Dubai,United Arab Emirates,621-630,,10.3,16.9,25.2,1.9,100.0,100.0,4.5,41.3,1.0,,,,,,,,,,,,621.0,,,U0053,UN,,1.9,,,,10.3,13.96
American University of Beirut (AUB),Lebanon,250,40.6,28.6,29.5,48.5,28.9,63.2,37.0,73.1,97.0,80.5,501–600,41.9–45.3,29.7,17.9,73.5,66.0,72.9,"8,722",8.7,20%,49 : 51,250.0,501.0,43.599999999999994,U0054,LE,40.6,28.9,8.7,1:8.7,20%,28.6,29.16
American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,485,24.8,4.6,3.3,35.5,46.8,100.0,100.0,15.4,4.1,1.1,,,,,,,,,,,,485.0,,,U0055,UN,24.8,46.8,,,,4.6,27.57
American University of Sharjah,United Arab Emirates,332,33.6,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,601–800,37.0–41.8,24.5,26.3,57.9,27.9,88.6,"4,737",12.5,74%,54 : 46,332.0,601.0,39.4,U0056,UN,33.6,23.9,12.5,1:12.5,74%,20.9,35.85
American University of the Middle East,Kuwait,611-620,,23.1,21.6,19.7,3.7,100.0,23.0,35.1,5.1,3.5,,,,,,,,,,,,611.0,,,U0057,KU,,3.7,,,,23.1,14.51
Amirkabir University of Technology,Iran,403,29.5,5.2,20.5,4.6,100.0,24.6,2.8,70.2,5.8,1.6,351–400,49.1–51.0,34.8,33.7,77.0,85.1,38.8,"9,859",20.2,3%,35 : 65,403.0,351.0,50.05,U0058,IR,29.5,100.0,20.2,1:20.2,3%,5.2,50.74
Amity University,India,1001-1200,,9.8,10.6,10.7,7.1,3.7,21.1,61.5,4.1,10.8,801–1000,32.7–36.9,23.6,14.0,62.3,20.0,31.1,"30,989",17.1,7%,52 : 48,1001.0,801.0,34.8,U0059,IN,34.8,7.1,17.1,1:17.1,7%,9.8,10.4
Amrita Vishwa Vidyapeetham,India,1001-1200,,5.8,4.7,24.0,5.7,35.5,1.6,39.7,1.7,1.1,801–1000,32.7–36.9,28.4,20.5,60.8,41.1,36.9,"22,085",11.8,5%,,1001.0,801.0,34.8,U0060,IN,34.8,5.7,11.8,1:11.8,5%,5.8,14.79
An-Najah National University,Palestine,1001-1200,,7.7,12.1,7.3,2.3,34.6,24.8,31.8,21.8,1.1,1001–1200,28.3–32.6,13.3,9.8,65.4,21.0,61.2,"24,835",21.7,11%,66 : 34,1001.0,1001.0,30.450000000000003,U0061,PA,30.450000000000003,2.3,21.7,1:21.7,11%,7.7,14.03
Anadolu University,Turkey,1201-1400,,4.9,3.9,13.1,2.6,1.8,2.9,17.5,13.9,1.0,1201–1500,22.8–28.2,22.3,11.8,41.2,22.0,32.7,"21,491",17.0,8%,53 : 47,1201.0,1201.0,25.5,U0062,TU,25.5,2.6,17.0,1:17.0,8%,4.9,8.27
Andhra University,India,,,,,,,,,,,,1501+,9.7–22.7,38.2,10.4,18.7,26.1,24.1,"10,382",14.8,5%,46 : 54,,1501.0,16.2,U0063,IN,16.2,18.7,14.8,1:14.8,5%,,10.34
Anglia Ruskin University (ARU),United Kingdom,,,,,,,,,,,,501–600,41.9–45.3,20.2,16.3,84.8,19.0,94.2,"17,200",24.1,41%,61 : 39,,501.0,43.599999999999994,U0064,UN,43.599999999999994,84.8,24.1,1:24.1,41%,,50.41
Çankırı Karatekin University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,12.5,9.5,22.7,15.6,41.0,"10,567",19.9,20%,53 : 47,,1501.0,16.2,U0065,TU,16.2,22.7,19.9,1:19.9,20%,,15.17
Ankara Üniversitesi,Turkey,801-850,,20.2,16.8,7.8,2.6,2.3,4.6,70.6,53.5,2.9,,,,,,,,,,,,801.0,,,U0066,TU,,2.6,,,,20.2,14.18
Ankara University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,18.2,11.6,30.5,36.6,34.4,"70,464",27.6,6%,53 : 47,,1501.0,16.2,U0067,TU,16.2,30.5,27.6,1:27.6,6%,,17.03
Ankara Yildirim Beyazit University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,19.2,12.6,23.1,17.3,35.4,"21,060",23.3,12%,54 : 46,,1501.0,16.2,U0068,TU,16.2,23.1,23.3,1:23.3,12%,,15.56
Anna University,India,383,30.6,10.0,12.0,5.5,100.0,,1.3,89.2,5.9,24.7,501–600,41.9–45.3,32.0,26.3,72.4,51.0,20.4,"12,824",13.1,1%,41 : 59,383.0,501.0,43.599999999999994,U0069,IN,30.6,100.0,13.1,1:13.1,1%,10.0,42.41
Annamalai University,India,,,,,,,,,,,,1501+,9.7–22.7,35.5,9.6,20.0,22.2,20.1,"18,360",13.6,0%,48 : 52,,1501.0,16.2,U0070,IN,16.2,20.0,13.6,1:13.6,0%,,9.35
Antonio Nariño University,Colombia,,,,,,,,,,,,1501+,9.7–22.7,16.6,7.9,33.1,16.0,51.5,"13,691",14.1,2%,55 : 45,,1501.0,16.2,U0071,CO,16.2,33.1,14.1,1:14.1,2%,,20.02
Aoyama Gakuin University,Japan,1201-1400,,7.0,10.9,5.2,1.8,15.4,2.5,6.2,9.5,1.0,1501+,9.7–22.7,20.0,8.9,10.4,22.2,36.2,"19,692",12.2,3%,49 : 51,1201.0,1501.0,16.2,U0072,JA,16.2,1.8,12.2,1:12.2,3%,7.0,7.36
Applied Science Private University - Jordan,Jordan,851-900,,9.9,15.7,28.6,3.1,39.3,59.7,10.4,4.6,1.8,,,,,,,,,,,,851.0,,,U0073,JO,,3.1,,,,9.9,14.33
Applied Science University - Bahrain,Bahrain,539,22.8,23.5,25.0,39.3,2.0,100.0,46.8,13.3,11.3,1.7,,,,,,,,,,,,539.0,,,U0074,BA,22.8,2.0,,,,23.5,13.99
"Arab Academy for Science, Technology and Maritime Transport",Egypt,1001-1200,,7.4,8.4,33.0,1.5,6.8,20.4,29.8,11.4,1.6,1201–1500,22.8–28.2,28.1,12.3,32.9,22.6,53.3,"37,942",13.9,10%,32 : 68,1001.0,1201.0,25.5,U0075,EG,25.5,1.5,13.9,1:13.9,10%,7.4,13.18
Arak University,Iran,,,,,,,,,,,,1501+,9.7–22.7,19.5,11.2,32.7,20.1,26.3,"7,506",18.7,5%,58 : 42,,1501.0,16.2,U0076,IR,16.2,32.7,18.7,1:18.7,5%,,15.53
Arak University of Medical Sciences,Iran,,,,,,,,,,,,801–1000,32.7–36.9,31.7,10.2,66.4,18.9,21.2,"3,545",7.4,2%,55 : 45,,801.0,34.8,U0077,IR,34.8,66.4,7.4,1:7.4,2%,,23.99
Ariel University,Israel,,,,,,,,,,,,1201–1500,22.8–28.2,15.6,18.9,37.0,25.9,30.9,"14,234",21.4,0%,48 : 52,,1201.0,25.5,U0078,IS,25.5,37.0,21.4,1:21.4,0%,,21.98
Aristotle University of Thessaloniki,Greece,508,23.9,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3,801–1000,32.7–36.9,22.3,16.8,66.3,52.7,38.1,"49,654",18.2,5%,58 : 42,508.0,801.0,34.8,U0079,GR,23.9,15.8,18.2,1:18.2,5%,28.2,16.2
Arizona State University,United States,200,46.2,48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6,96.3,182,59.9,40.9,46.2,87.5,71.5,71.7,"48,870",19.7,14%,46 : 54,200.0,182.0,59.9,U0080,UN,46.2,47.1,19.7,1:19.7,14%,48.6,49.22
Arts et Métiers,France,,,,,,,,,,,,801–1000,32.7–36.9,31.1,19.5,35.2,67.7,67.0,"5,970",16.3,12%,18 : 82,,801.0,34.8,U0081,FR,34.8,35.2,16.3,1:16.3,12%,,30.48
Asia Pacific University of Technology and Innovation (APU),Malaysia,611-620,,9.3,12.5,62.2,1.6,92.0,100.0,6.8,4.0,1.6,,,,,,,,,,,,611.0,,,U0082,MA,,1.6,,,,9.3,13.87
Asia University Taiwan,Taiwan,801-850,,5.9,1.8,3.6,52.5,9.9,3.2,57.1,2.0,1.7,401–500,45.4–49.0,18.3,36.6,80.6,63.2,49.2,"11,431",29.5,4%,63 : 37,801.0,401.0,47.2,U0083,TA,47.2,52.5,29.5,1:29.5,4%,5.9,40.38
Assiut University ,Egypt,1001-1200,,11.4,9.8,13.6,2.2,11.8,3.5,56.0,2.5,5.4,1201–1500,22.8–28.2,16.1,10.8,48.0,22.2,52.9,"99,610",22.1,1%,38 : 62,1001.0,1201.0,25.5,U0084,EG,25.5,2.2,22.1,1:22.1,1%,11.4,12.51
Aston University,United Kingdom,423,28.1,12.5,18.5,9.0,34.4,94.2,53.8,79.2,19.6,46.9,401–500,45.4–49.0,22.2,26.5,82.5,64.1,95.2,"12,950",19.0,25%,48 : 52,423.0,401.0,47.2,U0085,UN,28.1,34.4,19.0,1:19.0,25%,12.5,40.73
Aswan University,Egypt,,,,,,,,,,,,801–1000,32.7–36.9,16.7,12.1,75.6,18.4,50.4,"35,992",45.4,1%,51 : 49,,801.0,34.8,U0086,EG,34.8,75.6,45.4,1:45.4,1%,,34.83
Atılım University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,18.4,9.7,38.4,36.7,45.3,"9,302",13.5,7%,44 : 56,,1201.0,25.5,U0087,TU,25.5,38.4,13.5,1:13.5,7%,,21.07
Atatürk University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,19.1,16.7,45.0,24.5,25.5,"58,922",31.0,4%,50 : 50,,1201.0,25.5,U0088,TU,25.5,45.0,31.0,1:31.0,4%,,21.95
Ataturk University,Turkey,1201-1400,,5.8,2.3,2.9,4.4,3.2,7.4,39.4,7.8,1.1,,,,,,,,,,,,1201.0,,,U0089,TU,,4.4,,,,5.8,14.72
Ateneo de Manila University,Philippines,516,23.6,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6,1001–1200,28.3–32.6,30.8,10.8,52.4,27.6,33.5,"14,168",11.1,1%,52 : 48,516.0,1001.0,30.450000000000003,U0090,PH,23.6,1.8,11.1,1:11.1,1%,21.4,7.7
Athens University of Economics and Business,Greece,951-1000,,7.6,29.3,1.7,20.0,1.6,3.1,14.0,20.9,2.4,801–1000,32.7–36.9,18.1,23.6,53.3,57.8,44.5,"10,477",53.7,5%,45 : 55,951.0,801.0,34.8,U0091,GR,34.8,20.0,53.7,1:53.7,5%,7.6,22.58
Atma Jaya Catholic University Jakarta,Indonesia,1201-1400,,6.8,7.7,8.7,1.3,3.4,1.2,7.5,18.0,1.1,,,,,,,,,,,,1201.0,,,U0092,IN,,1.3,,,,6.8,13.78
Auburn University,United States,951-1000,,7.1,7.7,7.6,17.2,27.6,6.0,54.7,16.4,10.9,501–600,41.9–45.3,36.0,25.7,59.6,69.3,57.7,"27,670",18.2,8%,50 : 50,951.0,501.0,43.599999999999994,U0093,UN,43.599999999999994,17.2,18.2,1:18.2,8%,7.1,26.03
Auckland University of Technology (AUT),New Zealand,412,28.9,19.3,11.2,10.6,21.7,100.0,99.8,52.6,12.4,72.6,401–500,45.4–49.0,23.8,21.2,84.0,40.8,92.4,"18,592",17.7,46%,60 : 40,412.0,401.0,47.2,U0094,NE,28.9,21.7,17.7,1:17.7,46%,19.3,33.43
Auezov South Kazakhstan University (SKU),Kazakhstan,621-630,,18.5,28.7,89.5,1.0,12.9,16.2,4.0,3.2,2.6,,,,,,,,,,,,621.0,,,U0095,KA,,1.0,,,,18.5,13.69
Austral University of Chile,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,17.3,14.7,30.2,30.9,51.4,"18,594",16.4,1%,54 : 46,,1201.0,25.5,U0096,CH,25.5,30.2,16.4,1:16.4,1%,,22.68
Australian Catholic University,Australia,901-950,,8.2,8.9,5.1,12.1,71.0,41.7,33.9,1.7,2.7,401–500,45.4–49.0,16.8,25.7,97.0,21.9,80.7,"23,843",38.4,14%,76 : 24,901.0,401.0,47.2,U0097,AU,47.2,12.1,38.4,1:38.4,14%,8.2,30.05
The Australian National University,Australia,30,82.4,93.8,75.4,34.6,84.6,100.0,96.2,91.4,56.6,97.1,67,72.6,55.9,68.0,86.6,82.0,94.8,"17,293",15.1,48%,52 : 48,30.0,67.0,72.6,U0098,AU,82.4,84.6,15.1,1:15.1,48%,93.8,77.59
Autonomous University of Baja California,Mexico,,,,,,,,,,,,1501+,9.7–22.7,13.0,9.0,12.6,17.0,35.7,"67,944",21.7,3%,54 : 46,,1501.0,16.2,U0099,ME,16.2,12.6,21.7,1:21.7,3%,,10.56
Autonomous University of Barcelona,Spain,,,,,,,,,,,,201–250,55.9–58.6,45.1,41.4,84.8,67.6,68.8,"32,901",13.2,13%,60 : 40,,201.0,57.25,U0100,SP,57.25,84.8,13.2,1:13.2,13%,,57.43
Autonomous University of Madrid,Spain,,,,,,,,,,,,351–400,49.1–51.0,38.7,29.9,76.3,65.4,60.9,"30,227",13.4,15%,62 : 38,,351.0,50.05,U0101,SP,50.05,76.3,13.4,1:13.4,15%,,46.91
Autonomous University of Sinaloa,Mexico,,,,,,,,,,,,1201–1500,22.8–28.2,13.5,12.1,46.7,15.9,30.2,"74,001",21.8,1%,56 : 44,,1201.0,25.5,U0102,ME,25.5,46.7,21.8,1:21.8,1%,,21.19
Azarbaijan Shahid Madani University,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,14.9,15.3,67.9,19.0,27.9,"7,477",27.1,2%,61 : 39,,1001.0,30.450000000000003,U0103,IR,30.450000000000003,67.9,27.1,1:27.1,2%,,28.73
Azerbaijan State Oil and Industry University,Azerbaijan,1001-1200,,7.3,5.3,29.9,1.1,17.4,2.6,6.6,31.4,,,,,,,,,,,,,1001.0,,,U0104,AZ,,1.1,,,,7.3,13.72
Azerbaijan State University of Economics,Azerbaijan,1001-1200,,13.0,14.5,26.1,1.2,14.2,3.4,4.6,38.6,1.9,,,,,,,,,,,,1001.0,,,U0105,AZ,,1.2,,,,13.0,13.75
B. S. Abdur Rahman Crescent Institute of Science and Technology,India,,,,,,,,,,,,1201–1500,22.8–28.2,18.6,9.9,43.6,17.4,24.6,"7,805",18.3,0%,31 : 69,,1201.0,25.5,U0106,IN,25.5,43.6,18.3,1:18.3,0%,,17.74
Başkent University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,20.0,12.2,15.7,29.1,22.0,"13,970",13.3,3%,49 : 51,,1501.0,16.2,U0107,TU,16.2,15.7,13.3,1:13.3,3%,,9.86
Babeş-Bolyai University,Romania,,,,,,,,,,,,1001–1200,28.3–32.6,23.3,16.8,46.0,35.2,39.0,"43,018",21.1,4%,64 : 36,,1001.0,30.450000000000003,U0108,RO,30.450000000000003,46.0,21.1,1:21.1,4%,,25.57
Babes-Bolyai University,Romania,781-790,,15.5,19.5,5.3,4.4,7.8,3.8,80.1,26.7,42.7,,,,,,,,,,,,781.0,,,U0109,RO,,4.4,,,,15.5,14.72
Babol Noshirvani University of Technology,Iran,,,,,,,,,,,,501–600,41.9–45.3,21.5,21.5,94.4,28.4,25.3,"5,815",26.7,0%,34 : 66,,501.0,43.599999999999994,U0110,IR,43.599999999999994,94.4,26.7,1:26.7,0%,,39.39
Babol University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,41.7,12.0,70.5,18.0,21.0,"4,135",11.7,0%,57 : 43,,601.0,39.4,U0111,IR,39.4,70.5,11.7,1:11.7,0%,,26.12
Badji Mokhtar University – Annaba,Algeria,,,,,,,,,,,,1501+,9.7–22.7,34.1,16.2,12.5,16.9,35.0,"38,030",11.9,2%,63 : 37,,1501.0,16.2,U0112,AL,16.2,12.5,11.9,1:11.9,2%,,14.14
Bahçeşehir University,Turkey,,,,,,,,,,,,801–1000,32.7–36.9,19.5,24.4,59.4,39.6,61.2,"18,795",47.9,22%,50 : 50,,801.0,34.8,U0113,TU,34.8,59.4,47.9,1:47.9,22%,,38.98
Bahauddin Zakariya University ,Pakistan,1201-1400,,6.0,6.2,1.8,14.6,,1.0,44.6,4.1,1.0,1001–1200,28.3–32.6,19.6,12.6,58.5,19.2,48.1,"26,994",27.2,0%,40 : 60,1201.0,1001.0,30.450000000000003,U0114,PA,30.450000000000003,14.6,27.2,1:27.2,0%,6.0,16.05
Bahria University,Pakistan,,,,,,,,,,,,801–1000,32.7–36.9,14.2,9.7,77.3,16.2,48.7,"20,224",20.3,1%,45 : 55,,801.0,34.8,U0115,PA,34.8,77.3,20.3,1:20.3,1%,,33.68
Baku State University,Azerbaijan,951-1000,,12.9,5.5,41.7,1.4,5.3,2.2,16.7,47.7,1.3,1501+,9.7–22.7,20.1,8.6,13.8,19.7,35.5,"23,684",13.2,2%,66 : 34,951.0,1501.0,16.2,U0116,AZ,16.2,1.4,13.2,1:13.2,2%,12.9,6.91
Banaras Hindu University,India,1001-1200,,13.5,8.0,12.4,9.0,1.2,1.7,56.4,8.8,2.7,601–800,37.0–41.8,47.2,16.4,66.4,26.8,25.0,"12,620",8.0,3%,43 : 57,1001.0,601.0,39.4,U0117,IN,39.4,9.0,8.0,1:8.0,3%,13.5,10.76
Banasthali University,India,,,,,,,,,,,,1201–1500,22.8–28.2,34.6,11.7,31.4,23.8,25.6,"9,873",16.8,4%,99 : 1,,1201.0,25.5,U0118,IN,25.5,31.4,16.8,1:16.8,4%,,15.23
Bandung Institute of Technology (ITB),Indonesia,256,39.9,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6,1201–1500,22.8–28.2,23.7,17.1,29.2,29.4,38.5,"27,774",15.3,3%,43 : 57,256.0,1201.0,25.5,U0119,IN,39.9,2.6,15.3,1:15.3,3%,43.2,12.45
Bangladesh Agricultural University (BAU),Bangladesh,,,,,,,,,,,,1001–1200,28.3–32.6,29.5,9.9,45.2,22.6,49.5,"6,810",11.4,1%,45 : 55,,1001.0,30.450000000000003,U0120,BA,30.450000000000003,45.2,11.4,1:11.4,1%,,24.25
Bangladesh University of Engineering and Technology,Bangladesh,761-770,,16.9,36.6,13.6,14.9,,1.0,25.1,22.2,1.2,1001–1200,28.3–32.6,21.7,15.8,50.7,35.2,29.8,"6,237",13.2,0%,22 : 78,761.0,1001.0,30.450000000000003,U0121,BA,30.450000000000003,14.9,13.2,1:13.2,0%,16.9,13.4
Bangor University,United Kingdom,474,25.2,8.6,5.8,12.1,43.0,40.7,52.3,75.0,8.1,82.9,401–500,45.4–49.0,27.6,25.3,72.7,64.3,88.2,"8,130",14.8,23%,61 : 39,474.0,401.0,47.2,U0122,UN,25.2,43.0,14.8,1:14.8,23%,8.6,41.01
Bar-Ilan University,Israel,671-680,,7.8,6.1,7.5,48.1,46.4,2.7,50.1,22.9,4.2,501–600,41.9–45.3,30.0,34.1,54.1,85.8,46.8,"19,599",19.0,4%,61 : 39,671.0,501.0,43.599999999999994,U0123,IS,43.599999999999994,48.1,19.0,1:19.0,4%,7.8,37.16
Bartin University,Turkey,,,,,,,,,,,,1001–1200,28.3–32.6,11.1,13.0,69.6,16.3,37.4,"11,828",31.8,11%,39 : 61,,1001.0,30.450000000000003,U0124,TU,30.450000000000003,69.6,31.8,1:31.8,11%,,30.34
Bauman Moscow State Technical University,Russian Federation,298,36.5,36.2,51.9,99.9,1.4,65.6,70.0,15.2,7.7,6.8,401–500,45.4–49.0,71.7,43.9,22.1,51.7,59.3,"16,061",6.6,18%,42 : 58,298.0,401.0,47.2,U0125,RU,36.5,1.4,6.6,1:6.6,18%,36.2,31.17
Bayero University,Nigeria,,,,,,,,,,,,1201–1500,22.8–28.2,17.4,9.7,43.2,16.8,49.0,"43,027",25.4,0%,35 : 65,,1201.0,25.5,U0126,NI,25.5,43.2,25.4,1:25.4,0%,,23.42
Baylor University,United States,1001-1200,,6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6,4.0,601–800,37.0–41.8,39.2,19.7,61.3,54.8,38.6,"20,859",19.0,6%,61 : 39,1001.0,601.0,39.4,U0127,UN,39.4,7.5,19.0,1:19.0,6%,6.1,15.33
Beihang University (former BUAA),China,452,26.4,12.1,7.8,41.5,72.1,7.0,4.5,51.2,12.8,4.3,301–350,51.1–53.0,42.9,43.5,68.6,94.7,34.5,"32,854",12.3,4%,,452.0,301.0,52.05,U0128,CH,26.4,72.1,12.3,1:12.3,4%,12.1,46.38
Beijing Foreign Studies University,China,1201-1400,,5.7,2.9,25.9,1.5,19.6,25.8,3.4,7.4,1.0,,,,,,,,,,,,1201.0,,,U0129,CH,,1.5,,,,5.7,13.84
Beijing Institute of Technology,China,302,35.9,23.2,24.3,43.4,82.0,5.7,6.7,68.6,14.3,10.1,251–300,53.1–55.8,45.1,44.0,74.7,82.1,36.8,"34,050",13.4,8%,,302.0,251.0,54.45,U0130,CH,35.9,82.0,13.4,1:13.4,8%,23.2,50.2
Beijing Jiaotong University,China,901-950,,9.7,5.4,15.2,31.8,4.7,9.6,29.1,9.6,1.2,,,,,,,,,,,,901.0,,,U0131,CH,,31.8,,,,9.7,23.02
Beijing Normal University ,China,271,38.5,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,19.7,=177,60.2,57.7,45.8,77.5,67.6,52.3,"26,439",14.4,9%,,271.0,177.0,60.2,U0132,CH,38.5,92.6,14.4,1:14.4,9%,33.9,58.11
Beijing University of Chemical Technology,China,701-710,,4.5,1.8,19.0,67.1,2.5,1.7,37.2,2.4,1.3,,,,,,,,,,,,701.0,,,U0133,CH,,67.1,,,,4.5,33.72
Beijing University of Chinese Medicine,China,1201-1400,,4.4,1.6,37.2,9.4,,8.8,7.1,3.0,1.0,,,,,,,,,,,,1201.0,,,U0134,CH,,9.4,,,,4.4,16.24
Beijing University of Posts and Telecommunications,China,901-950,,3.2,2.6,10.2,49.3,4.7,1.7,18.7,13.5,1.4,,,,,,,,,,,,901.0,,,U0135,CH,,49.3,,,,3.2,28.33
Beijing University of Technology,China,801-850,,7.7,4.9,38.2,33.1,4.7,1.8,31.9,4.2,1.6,,,,,,,,,,,,801.0,,,U0136,CH,,33.1,,,,7.7,23.42
Beirut Arab University ,Lebanon,641-650,,17.7,14.8,19.1,3.3,88.5,48.2,28.0,38.2,1.0,501–600,41.9–45.3,48.5,24.6,47.3,18.6,88.2,"4,834",10.4,21%,45 : 55,641.0,501.0,43.599999999999994,U0137,LE,43.599999999999994,3.3,10.4,1:10.4,21%,17.7,28.62
Belarusian National Technical University (BNTU),Belarus,801-850,,14.8,26.7,51.0,1.0,2.1,34.1,5.1,5.6,,,,,,,,,,,,,801.0,,,U0138,BE,,1.0,,,,14.8,13.69
Belarusian State University,Belarus,387,30.3,28.4,40.7,93.0,1.3,3.8,59.3,36.4,38.2,1.0,1201–1500,22.8–28.2,25.5,11.5,17.0,55.4,66.8,"23,030",7.6,19%,62 : 38,387.0,1201.0,25.5,U0139,BE,30.3,1.3,7.6,1:7.6,19%,28.4,15.97
Belarusian State University of Informatics and Radioelectronics,Belarus,1201-1400,,6.6,17.1,15.3,1.2,1.1,9.3,7.4,5.9,,,,,,,,,,,,,1201.0,,,U0140,BE,,1.2,,,,6.6,13.75
Belgorod State National Research University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,23.4,13.7,10.6,34.1,42.3,"14,066",15.6,20%,60 : 40,,1501.0,16.2,U0141,RU,16.2,10.6,15.6,1:15.6,20%,,14.01
Ben-Gurion University of The Negev,Israel,471,25.5,14.4,14.5,11.1,51.7,64.0,14.3,64.9,16.3,11.8,501–600,41.9–45.3,34.1,30.6,59.0,71.6,34.5,"17,265",21.3,2%,52 : 48,471.0,501.0,43.599999999999994,U0142,IS,25.5,51.7,21.3,1:21.3,2%,14.4,33.44
Benemérita Universidad Autónoma de Puebla,Mexico,1201-1400,,13.7,5.4,2.8,1.9,2.8,1.3,24.5,2.0,1.2,1501+,9.7–22.7,15.6,9.5,17.1,19.4,37.7,"79,695",45.2,1%,52 : 48,1201.0,1501.0,16.2,U0143,ME,16.2,1.9,45.2,1:45.2,1%,13.7,8.06
Benha University,Egypt,,,,,,,,,,,,1001–1200,28.3–32.6,15.7,9.2,66.5,18.9,49.1,"110,873",30.9,2%,42 : 58,,1001.0,30.450000000000003,U0144,EG,30.450000000000003,66.5,30.9,1:30.9,2%,,30.24
Beni-Suef University,Egypt,,,,,,,,,,,,1001–1200,28.3–32.6,16.8,9.8,61.1,19.5,51.4,"85,158",31.6,0%,49 : 51,,1001.0,30.450000000000003,U0145,EG,30.450000000000003,61.1,31.6,1:31.6,0%,,29.47
