University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Dunarea de Jos University of Galati,Romania,,,,,,,,,,,,1501+,9.7–22.7,19.8,9.2,17.5,16.4,46.1,"12,481",16.0,22%,58 : 42,,1501.0,16.2,U0341,RO,16.2,17.5,16.0,1:16.0,22%,,14.67
Durban University of Technology,South Africa,,,,,,,,,,,,1001–1200,28.3–32.6,17.3,11.8,62.0,18.4,46.5,"27,163",35.3,1%,55 : 45,,1001.0,30.450000000000003,U0342,SO,30.450000000000003,62.0,35.3,1:35.3,1%,,29.61
Durham University,United Kingdom,89,61.7,59.6,83.9,26.3,40.9,97.3,84.9,89.7,39.4,98.6,174,60.6,43.5,44.5,83.5,65.6,95.8,"19,575",14.0,32%,54 : 46,89.0,174.0,60.6,U0343,UN,61.7,40.9,14.0,1:14.0,32%,59.6,52.28
Duy Tan University,Vietnam,495,24.4,11.9,25.3,3.9,49.0,37.7,1.4,83.5,4.4,29.0,601–800,37.0–41.8,12.1,14.2,87.5,17.4,52.5,"23,951",24.3,0%,57 : 43,495.0,601.0,39.4,U0344,VI,24.4,49.0,24.3,1:24.3,0%,11.9,28.38
Duzce University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,15.5,19.9,44.7,50.7,30.2,"21,641",33.4,9%,44 : 56,,1201.0,25.5,U0345,TU,25.5,44.7,33.4,1:33.4,9%,,24.67
Eötvös Loránd University,Hungary,564,22.1,23.3,22.6,10.7,6.1,5.2,11.0,71.3,60.9,61.9,801–1000,32.7–36.9,28.6,19.2,57.3,33.4,51.3,"30,414",17.8,11%,61 : 39,564.0,801.0,34.8,U0346,HU,22.1,6.1,17.8,1:17.8,11%,23.3,17.71
EAFIT University,Colombia,,,,,,,,,,,,1501+,9.7–22.7,17.0,11.0,16.5,16.5,44.7,"11,298",18.8,1%,44 : 56,,1501.0,16.2,U0347,CO,16.2,16.5,18.8,1:18.8,1%,,14.97
East China Normal University,China,501,24.1,13.3,4.7,16.2,63.5,24.1,9.0,72.0,9.0,6.8,301–350,51.1–53.0,42.7,35.1,76.3,66.3,56.4,"28,787",14.1,8%,64 : 36,501.0,301.0,52.05,U0348,CH,24.1,63.5,14.1,1:14.1,8%,13.3,44.67
East China University of Science and Technology,China,641-650,,6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5,2.5,601–800,37.0–41.8,29.9,25.8,60.2,87.1,23.2,"30,974",18.0,2%,44 : 56,641.0,601.0,39.4,U0349,CH,39.4,69.7,18.0,1:18.0,2%,6.9,33.65
East West University,Bangladesh,1401+,,6.8,12.8,2.8,2.4,1.4,1.0,7.4,3.9,1.1,,,,,,,,,,,,1401.0,,,U0350,BA,,2.4,,,,6.8,14.12
Eastern Mediterranean University,Northern Cyprus,611-620,,5.6,2.1,3.5,26.5,90.1,100.0,55.2,24.1,1.8,601–800,37.0–41.8,26.0,15.2,73.8,35.9,75.5,"13,809",25.4,75%,44 : 56,611.0,601.0,39.4,U0351,NO,39.4,26.5,25.4,1:25.4,75%,5.6,27.65
Eberhard Karls Universität Tübingen,Germany,222,43.7,46.0,30.7,87.1,20.5,76.1,26.2,93.8,30.9,33.0,,,,,,,,,,,,222.0,,,U0352,GE,43.7,20.5,,,,46.0,19.6
Ecole des Ponts ParisTech,France,205,45.8,8.9,58.5,99.0,62.6,43.5,96.5,37.3,59.5,10.8,,,,,,,,,,,,205.0,,,U0353,FR,45.8,62.6,,,,8.9,32.36
Edge Hill University,United Kingdom,,,,,,,,,,,,1001–1200,28.3–32.6,18.1,13.8,55.6,22.0,54.7,"11,910",16.4,6%,70 : 30,,1001.0,30.450000000000003,U0354,UN,30.450000000000003,55.6,16.4,1:16.4,6%,,30.7
Edinburgh Napier University,United Kingdom,801-850,,5.0,5.0,4.0,11.8,77.5,86.0,60.1,4.9,2.2,501–600,41.9–45.3,18.1,18.4,77.9,47.7,93.7,"12,415",22.4,34%,52 : 48,801.0,501.0,43.599999999999994,U0355,UN,43.599999999999994,11.8,22.4,1:22.4,34%,5.0,29.27
Edith Cowan University ,Australia,516,23.6,8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7,5.8,351–400,49.1–51.0,23.7,26.2,86.9,69.2,87.6,"17,965",29.8,24%,62 : 38,516.0,351.0,50.05,U0356,AU,23.6,49.8,29.8,1:29.8,24%,8.5,43.4
Effat University,Saudi Arabia,721-730,,3.8,2.6,23.1,17.6,100.0,98.3,15.9,3.3,1.0,,,,,,,,,,,,721.0,,,U0357,SA,,17.6,,,,3.8,18.72
EGE UNIVERSITY,Turkey,1001-1200,,10.0,13.6,15.8,3.2,1.3,7.8,68.6,2.1,1.4,1201–1500,22.8–28.2,32.7,16.7,30.4,63.4,25.7,"31,178",20.3,4%,54 : 46,1001.0,1201.0,25.5,U0358,TU,25.5,3.2,20.3,1:20.3,4%,10.0,9.33
Egypt-Japan University of Science and Technology (E-JUST),Egypt,,,,,,,,,,,,601–800,37.0–41.8,34.2,27.6,62.4,27.7,51.5,"1,751",18.4,3%,32 : 68,,601.0,39.4,U0359,EG,39.4,62.4,18.4,1:18.4,3%,,39.22
Ehime University,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,24.3,14.9,27.9,54.0,32.1,"9,101",11.3,2%,39 : 61,,1201.0,25.5,U0360,JA,25.5,27.9,11.3,1:11.3,2%,,17.42
Eindhoven University of Technology,Netherlands,136,54.0,28.7,72.1,35.7,79.3,100.0,82.7,70.8,24.2,29.8,=168,60.8,47.4,51.5,71.3,100.0,87.3,"10,611",21.4,27%,,136.0,168.0,60.8,U0361,NE,54.0,79.3,21.4,1:21.4,27%,28.7,65.53
El Bosque University,Colombia,,,,,,,,,,,,1501+,9.7–22.7,23.7,9.3,20.0,16.9,46.6,"12,702",6.8,2%,62 : 38,,1501.0,16.2,U0362,CO,16.2,20.0,6.8,1:6.8,2%,,15.6
