University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
Binghamton University SUNY,US,1001-1200,-,7.0,5.1,5.7,15.8,10.8,10.3,44.2,3.9,3.1,,,,,,,,,,,
BINUS University,Indonesia,,,,,,,,,,,,1201–1500,22.8–28.2,20.0,17.2,37.5,25.1,34.1,"15,185",14.2,4%,43 : 57
"Birkbeck, University of London",UK,408,29.1,10.0,3.6,15.6,57.1,97.7,99.5,55.5,8.8,7.7,,,,,,,,,,,
"Birla Institute of Technology and Science, Pilani",IN,801-850,-,11.0,19.7,8.0,20.4,2.2,2.5,37.6,25.4,30.4,801–1000,32.7–36.9,23.7,17.0,67.4,31.7,25.1,"16,339",16.2,2%,20 : 80
Birmingham City University ,UK,1001-1200,-,6.2,4.4,7.3,3.2,42.0,73.8,27.2,6.5,1.4,601–800,37.0–41.8,17.3,11.8,77.8,23.2,81.9,"24,575",17.2,26%,63 : 37
Birzeit university,PS,1201-1400,-,7.6,7.1,4.7,2.8,13.4,4.0,20.4,23.2,1.0,,,,,,,,,,,
Blida 1 University,Algeria,,,,,,,,,,,,1501+,9.7–22.7,19.6,8.6,14.9,16.7,36.8,"29,433",20.4,1%,64 : 36
Åbo Akademi University,Finland,,,,,,,,,,,,501–600,41.9–45.3,29.5,31.6,59.3,67.1,68.1,"5,637",18.2,13%,60 : 40
Bo?aziçi University,TR,418,28.5,24.9,65.3,4.1,10.7,10.7,2.6,46.8,84.9,46.2,601–800,37.0–41.8,26.1,26.6,57.4,59.6,50.6,"12,877",23.5,2%,45 : 55
Bolu Abant Izzet Baysal University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,15.6,9.3,29.2,17.4,32.4,"23,820",22.1,9%,55 : 45
Bond University,AU,587,21.1,4.3,4.6,47.8,28.8,70.4,86.6,26.5,8.4,1.0,401–500,45.4–49.0,28.2,23.1,82.5,23.1,82.3,"3,170",11.2,34%,54 : 46
Boston College,US,631-640,-,21.3,16.2,21.2,16.6,12.5,18.8,50.8,42.2,7.1,251–300,53.1–55.8,43.5,30.5,84.6,60.7,57.8,"13,156",14.9,10%,55 : 45
Boston University,US,108,58.1,61.9,69.1,38.3,41.3,34.3,88.9,86.9,77.2,65.9,78,70.1,59.6,54.1,94.3,76.4,74.1,"26,677",10.8,29%,58 : 42
Botswana International University of Science and Technology (BIUST),Botswana,,,,,,,,,,,,1201–1500,22.8–28.2,25.5,11.0,35.1,16.6,77.0,"1,992",8.8,8%,33 : 67
Bournemouth University,UK,771-780,-,5.8,6.4,6.1,16.4,80.3,47.1,72.6,4.8,5.3,401–500,45.4–49.0,23.2,21.1,86.7,38.4,89.0,"14,260",19.1,21%,53 : 47
Bowling Green State University,United States,,,,,,,,,,,,1001–1200,28.3–32.6,22.4,13.9,52.7,40.5,28.9,"15,159",17.6,3%,57 : 43
Bozok University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,16.1,9.4,30.3,16.9,28.9,"13,417",14.4,5%,51 : 49
BRAC University,BD,1001-1200,-,11.6,27.9,10.0,2.0,2.0,1.4,21.4,3.8,1.1,801–1000,32.7–36.9,14.8,12.3,71.1,15.7,42.2,"13,027",16.9,1%,43 : 57
Brandeis University,US,721-730,-,9.4,4.8,53.1,11.6,18.0,75.1,32.3,16.5,1.1,251–300,53.1–55.8,36.7,28.3,84.6,64.2,81.4,"4,791",11.6,33%,59 : 41
Brigham Young University,US,1001-1200,-,7.5,7.0,4.8,10.4,1.3,3.0,52.4,22.2,3.8,,,,,,,,,,,
Brighton and Sussex Medical School,United Kingdom,,,,,,,,,,,,501–600,41.9–45.3,26.6,22.0,74.4,37.8,93.1,25,0.3,26%,60 : 40
British University in Egypt,EG,1201-1400,-,6.0,5.5,25.7,2.3,2.6,2.6,12.0,2.6,1.0,1201–1500,22.8–28.2,17.5,9.5,47.7,16.3,36.9,"10,648",14.8,3%,47 : 53
Brno University of Technology,CZ,611-620,-,13.0,29.3,25.7,7.3,14.8,67.3,78.8,12.7,3.3,1001–1200,28.3–32.6,22.2,19.3,39.0,70.3,58.3,"18,137",15.5,25%,28 : 72
Brock University,CA,1201-1400,-,4.0,6.3,3.0,13.7,2.1,23.8,30.9,5.2,2.7,,,,,,,,,,,
Brown University,US,79,64.7,59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6,46.6,=64,73.0,69.8,59.6,89.7,69.3,72.1,"9,781",10.3,19%,
Brunel University London,UK,342,33,11.1,13.3,7.1,46.5,99.1,99.8,77.9,19.9,71.2,351–400,49.1–51.0,25.2,26.5,80.7,60.1,98.4,"14,130",17.9,40%,47 : 53
Bu-Ali Sina University,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,22.3,16.5,42.8,21.1,25.3,"11,153",24.1,1%,59 : 41
Bucharest University of Economic Studies,Romania,,,,,,,,,,,,801–1000,32.7–36.9,19.7,11.6,75.9,20.8,27.8,"23,419",16.3,4%,62 : 38
Óbuda University,HU,1201-1400,-,5.5,4.9,2.5,7.8,17.9,7.6,29.1,3.8,1.0,1001–1200,28.3–32.6,14.4,16.4,55.7,20.7,42.6,"10,997",34.4,7%,22 : 78
Budapest University of Technology and Economics,HU,721-730,-,15.6,25.7,13.7,8.5,2.8,14.8,56.6,33.2,26.0,1201–1500,22.8–28.2,22.2,18.3,35.8,59.3,37.6,"18,621",16.9,13%,31 : 69
Burapha University,Thailand,,,,,,,,,,,,1501+,9.7–22.7,16.0,9.8,10.3,20.9,27.6,"24,431",17.4,2%,66 : 34
Bursa Technical University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,13.7,9.4,30.4,18.5,29.7,"8,696",18.5,8%,48 : 52
Bursa Uludağ University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,18.8,10.4,20.0,31.0,32.3,"41,901",24.2,10%,50 : 50
Ca' Foscari University of Venice ,IT,601-610,-,19.6,15.8,5.7,12.7,42.0,8.9,64.6,12.3,74.5,501–600,41.9–45.3,34.2,36.3,52.8,64.7,63.0,"15,053",29.5,7%,66 : 34
Cairo University,EG,350,32.5,45.8,41.0,8.8,3.0,2.9,7.2,86.4,95.5,47.2,801–1000,32.7–36.9,25.0,18.5,59.9,39.2,45.4,"202,915",30.9,5%,60 : 40
California Institute of Technology (Caltech),US,10,90.9,96.5,95.3,100.0,100.0,100.0,79.8,65.5,31.0,62.5,7,96.5,96.6,98.0,95.9,100.0,90.6,"2,240",6.1,33%,37 : 63
California Polytechnic State University,US,1401+,-,3.6,9.1,6.7,3.0,,,25.5,8.7,1.3,,,,,,,,,,,
"California State University, Long Beach",US,1401+,-,3.7,4.1,4.8,2.9,2.6,3.4,16.4,1.7,1.0,,,,,,,,,,,
California State University - Los Angeles,US,1401+,-,5.2,3.3,3.8,2.9,3.6,2.3,14.9,5.5,1.0,,,,,,,,,,,
Campus Bio-Medico University of Rome,Italy,,,,,,,,,,,,401–500,45.4–49.0,32.6,29.0,76.9,48.8,31.0,"2,210",18.4,1%,62 : 38
Canadian University Dubai,AE,523,23.5,20.1,19.9,33.5,2.7,100.0,100.0,14.0,17.4,1.6,,,,,,,,,,,
Cankaya University,Turkey,,,,,,,,,,,,601–800,37.0–41.8,14.0,15.4,83.4,17.0,51.0,"6,685",24.0,1%,44 : 56
Canterbury Christ Church University,UK,1001-1200,-,5.1,2.2,4.7,3.7,34.5,87.6,17.7,1.3,1.0,1001–1200,28.3–32.6,20.7,13.8,44.6,18.0,59.6,"11,155",20.1,15%,68 : 32
Capital Medical University,China,,,,,,,,,,,,601–800,37.0–41.8,35.9,20.9,65.8,46.0,26.4,"15,347",4.9,5%,64 : 36
Capital University of Science and Technology,Pakistan,,,,,,,,,,,,601–800,37.0–41.8,13.4,16.1,82.0,22.2,46.6,"6,237",28.0,0%,36 : 64
Cardiff Metropolitan University,United Kingdom,,,,,,,,,,,,1201–1500,22.8–28.2,20.3,12.8,34.8,41.3,78.7,"9,665",18.1,20%,54 : 46
Cardiff University,UK,186,47.6,46.8,43.2,36.1,30.0,82.8,67.7,92.3,18.9,96.0,190,59.3,35.5,39.6,91.9,70.4,92.5,"28,815",15.0,27%,58 : 42
Carleton University,CA,741-750,-,11.1,13.5,3.8,15.6,13.2,43.7,67.3,34.3,26.3,501–600,41.9–45.3,22.6,31.2,67.0,75.5,77.2,"29,656",29.4,21%,50 : 50
Carlos III University of Madrid,Spain,,,,,,,,,,,,801–1000,32.7–36.9,29.5,20.8,42.9,66.9,60.0,"18,722",11.2,12%,47 : 53
Carnegie Mellon University,US,58,72,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,24,86.3,75.0,84.6,98.9,87.3,85.5,"13,562",11.9,44%,44 : 56
Case Western Reserve University,US,259,39.7,17.2,15.4,82.3,61.6,35.7,71.7,55.6,29.3,53.1,=164,61.3,51.7,40.2,88.7,71.4,65.0,"10,294",8.8,25%,51 : 49
Católica de Córdoba,AR,1401+,-,5.3,2.6,17.1,1.1,3.6,3.6,2.3,4.6,1.0,,,,,,,,,,,
Catania University,IT,901-950,-,11.6,3.0,5.4,23.4,3.5,4.5,71.3,5.7,3.6,,,,,,,,,,,
The Catholic University of America,United States,,,,,,,,,,,,601–800,37.0–41.8,44.4,20.0,45.6,68.7,51.7,"3,930",11.2,6%,55 : 45
Catholic University of Brasília,Brazil,,,,,,,,,,,,1501+,9.7–22.7,15.4,10.5,11.7,19.0,35.7,"10,064",22.6,0%,53 : 47
The Catholic University of Korea ,KR,801-850,-,4.5,2.9,98.6,14.1,3.8,22.5,10.5,1.9,6.5,601–800,37.0–41.8,30.7,38.7,42.9,89.9,36.2,"7,389",17.9,7%,57 : 43
Catholic University of Portugal,Portugal,,,,,,,,,,,,801–1000,32.7–36.9,19.6,18.7,64.4,25.6,55.7,"11,543",22.2,17%,62 : 38
Catholic University of the North,Chile,,,,,,,,,,,,1501+,9.7–22.7,14.2,15.2,29.0,18.2,58.0,"11,528",20.3,3%,46 : 54
Catholic University of the Sacred Heart,Italy,,,,,,,,,,,,301–350,51.1–53.0,35.2,30.0,89.4,74.5,52.3,"28,830",39.1,7%,71 : 29
Ceará State University,Brazil,,,,,,,,,,,,1501+,9.7–22.7,21.1,11.4,8.9,17.9,20.2,"16,305",14.7,0%,54 : 46
Central Michigan University,US,1201-1400,-,3.6,3.4,8.2,6.5,2.4,6.9,23.4,7.7,1.2,1001–1200,28.3–32.6,28.8,15.3,46.8,44.9,33.4,"13,780",18.3,3%,60 : 40
Central Queensland University (CQUniversity Australia),AU,495,24.4,9.0,6.7,29.4,20.9,97.1,97.8,44.0,3.1,49.8,501–600,41.9–45.3,19.7,26.7,76.0,39.5,65.3,"12,874",25.6,11%,65 : 35
Central South University,CN,431,27.6,8.6,4.1,5.5,99.7,6.4,4.0,67.5,14.1,3.9,,,,,,,,,,,
Centrale Nantes,France,,,,,,,,,,,,401–500,45.4–49.0,40.7,33.4,50.6,81.1,87.8,"1,678",14.8,39%,25 : 75
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,,,,,,,,,,,,1501+,9.7–22.7,12.4,9.7,18.2,16.7,30.6,"18,816",21.0,0%,38 : 62
CES University,Colombia,,,,,,,,,,,,1501+,9.7–22.7,19.2,9.1,5.8,16.4,37.1,"6,612",13.6,3%,69 : 31
Chalmers University of Technology,SE,139,53.7,26.3,50.4,50.5,77.4,100.0,63.1,77.0,31.7,87.0,189,59.4,42.7,46.6,79.4,97.1,74.1,"10,103",15.4,17%,32 : 68
Chandigarh University,IN,691-700,-,14.1,51.3,24.0,1.4,37.6,15.3,37.4,1.9,1.6,,,,,,,,,,,
Chang Gung University,TW,631-640,-,6.3,4.3,71.6,41.9,5.1,4.5,27.7,2.0,13.2,601–800,37.0–41.8,26.5,34.6,47.2,95.5,28.5,"7,017",12.3,5%,49 : 51
Chang Gung University of Science and Technology,Taiwan,,,,,,,,,,,,1201–1500,22.8–28.2,15.1,17.0,37.2,34.9,20.3,"6,397",25.6,1%,89 : 11
Chang Jung Christian University,TW,1001-1200,-,8.5,4.6,48.4,1.6,6.1,4.4,4.8,2.0,1.1,,,,,,,,,,,
Changsha University of Science and Technology,China,,,,,,,,,,,,801–1000,32.7–36.9,16.8,13.5,76.5,41.6,27.9,"35,014",16.0,1%,36 : 64
Chaoyang University of Technology,TW,1201-1400,-,5.5,5.8,4.3,3.9,5.6,5.9,26.5,2.0,4.3,1501+,9.7–22.7,14.1,18.2,28.2,47.0,38.9,"14,432",37.5,5%,55 : 45
Chapman University,United States,,,,,,,,,,,,801–1000,32.7–36.9,36.9,14.7,48.1,59.2,46.8,"9,231",12.0,7%,61 : 39
Charité - Universitätsmedizin Berlin,Germany,,,,,,,,,,,,94,67.2,47.5,49.1,97.7,100.0,75.2,"8,868",17.5,21%,65 : 35
Charles Darwin University ,AU,621-630,-,5.7,4.2,4.5,44.2,25.4,55.2,41.3,3.9,63.7,401–500,45.4–49.0,24.8,32.5,73.9,36.3,81.6,"7,313",33.6,27%,71 : 29
Charles Sturt University ,AU,851-900,-,5.1,5.4,8.2,8.1,45.4,47.9,53.4,7.4,41.7,801–1000,32.7–36.9,18.5,17.9,55.1,58.0,66.3,"21,133",24.6,13%,63 : 37
Charles University,CZ,246,41,45.6,49.1,32.2,8.0,25.0,50.5,96.3,65.5,77.4,401–500,45.4–49.0,38.8,33.1,61.9,60.1,64.7,"51,728",13.4,23%,62 : 38
Chelyabinsk State University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,12.3,10.7,10.7,17.0,25.9,"11,226",24.3,2%,62 : 38
Chengdu University,China,,,,,,,,,,,,801–1000,32.7–36.9,18.5,14.5,74.1,28.5,28.2,"24,154",16.3,2%,55 : 45
Chiang Mai University,TH,567,21.9,34.8,17.1,17.3,4.2,4.8,4.2,62.5,19.1,56.1,801–1000,32.7–36.9,28.5,19.1,46.3,58.1,39.5,"33,649",13.6,4%,61 : 39
Chiba Institute of Technology,Japan,,,,,,,,,,,,1501+,9.7–22.7,14.8,8.8,13.0,26.1,20.9,"9,979",24.4,2%,15 : 85
Chiba University,JP,771-780,-,16.6,8.5,66.1,8.8,7.5,4.3,28.9,3.8,8.7,801–1000,32.7–36.9,33.2,20.9,42.0,68.9,33.9,"13,832",8.9,6%,38 : 62
China Agricultural University ,CN,484,24.9,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,5.8,,,,,,,,,,,
"China Medical University, Taiwan",Taiwan,,,,,,,,,,,,301–350,51.1–53.0,27.3,32.8,92.4,89.9,49.7,"7,110",14.7,7%,57 : 43
China Pharmaceutical University,China,,,,,,,,,,,,1001–1200,28.3–32.6,23.4,18.3,52.8,73.4,22.2,"18,448",16.4,3%,65 : 35
China University of Geosciences,CN,771-780,-,5.1,1.4,53.6,31.8,1.5,2.7,67.0,1.4,4.0,,,,,,,,,,,
China University of Mining and Technology,CN,681-690,-,3.5,1.6,14.1,68.5,,,52.4,10.1,2.8,,,,,,,,,,,
China University of Petroleum,CN,631-640,-,3.4,1.7,8.6,79.7,1.7,2.8,24.1,21.1,1.5,801–1000,32.7–36.9,22.2,23.0,54.3,68.2,23.8,"29,292",17.0,2%,33 : 67
"China University of Petroleum, Beijing",China,,,,,,,,,,,,501–600,41.9–45.3,31.6,37.5,56.6,81.8,30.1,"18,061",18.6,7%,
China University of Political Science and Law,CN,1201-1400,-,2.7,37.6,8.0,1.2,3.7,1.5,6.1,5.8,1.0,,,,,,,,,,,
Chinese Culture University,Taiwan,,,,,,,,,,,,1501+,9.7–22.7,13.9,10.0,16.8,26.1,29.8,"23,152",23.5,6%,50 : 50
The Chinese University of Hong Kong (CUHK),HK,36,81.3,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,53,75.4,59.1,61.5,97.6,95.9,93.6,"18,290",18.8,25%,
Chitkara University,IN,1201-1400,-,6.1,7.4,15.9,2.2,5.5,3.0,29.4,1.9,3.3,,,,,,,,,,,
Chittagong University of Engineering and Technology,BD,1201-1400,-,8.9,12.4,8.3,5.1,1.4,,6.7,4.2,1.0,,,,,,,,,,,
Chongqing University,CN,489,24.5,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,351–400,49.1–51.0,32.8,38.2,75.9,79.6,42.0,"42,607",20.1,2%,
Chonnam National University,KR,851-900,-,9.3,4.7,45.4,12.4,9.0,7.3,28.5,4.7,44.3,801–1000,32.7–36.9,28.5,28.3,43.6,57.5,32.8,"22,051",17.7,7%,49 : 51
Chosun University,South Korea,,,,,,,,,,,,1201–1500,22.8–28.2,20.9,20.8,25.0,71.9,36.0,"20,247",24.5,3%,48 : 52
Christ University Bengaluru India,India,,,,,,,,,,,,1201–1500,22.8–28.2,14.6,9.9,44.4,15.9,25.4,"27,720",20.7,2%,46 : 54
Christian-Albrechts-University zu Kiel,DE,611-620,-,17.7,10.8,44.7,15.6,,8.4,90.0,14.3,23.5,,,,,,,,,,,
Chubu University,Japan,,,,,,,,,,,,1501+,9.7–22.7,17.1,11.9,15.9,33.4,34.1,"8,929",17.1,2%,27 : 73
Chulalongkorn University,TH,229,43.4,68.2,35.9,31.7,7.5,18.7,3.0,79.6,93.6,73.2,601–800,37.0–41.8,36.7,32.2,50.2,76.6,44.1,"34,552",12.7,3%,56 : 44
Chung-Ang University (CAU),KR,489,24.5,16.0,31.9,67.8,9.3,14.2,37.8,29.9,13.5,49.5,401–500,45.4–49.0,37.4,38.4,52.0,98.3,62.6,"18,193",22.4,23%,
Chung Shan Medical University,Taiwan,,,,,,,,,,,,1201–1500,22.8–28.2,18.9,20.0,27.0,48.9,21.4,"7,052",17.2,4%,64 : 36
Chung Yuan Christian University,TW,1001-1200,-,6.3,5.3,4.3,15.6,3.9,6.7,15.1,22.4,7.9,1001–1200,28.3–32.6,18.1,24.4,39.0,62.6,41.2,"15,939",33.5,7%,46 : 54
Chungbuk National University,KR,1001-1200,-,3.8,2.7,34.1,10.3,10.5,7.7,27.4,1.7,15.4,1201–1500,22.8–28.2,26.5,21.2,29.9,50.6,29.6,"17,075",14.0,5%,44 : 56
Chungnam National University,KR,851-900,-,8.8,7.8,46.3,10.7,7.2,9.2,32.7,5.0,25.7,801–1000,32.7–36.9,29.9,29.7,34.9,71.7,26.0,"20,334",19.8,4%,47 : 53
Chuo University,Japan,,,,,,,,,,,,1501+,9.7–22.7,18.7,12.7,15.5,27.2,30.4,"26,161",35.6,4%,38 : 62
City University of Hong Kong,HK,62,70.7,60.9,30.8,89.5,100.0,100.0,100.0,62.9,37.5,72.9,82,69.3,52.2,52.4,91.1,100.0,98.7,"9,076",13.2,67%,54 : 46
"City, University of London",UK,352,32.4,20.8,21.3,5.6,31.2,95.8,98.9,66.4,54.8,23.2,351–400,49.1–51.0,27.4,30.9,78.6,61.8,95.5,"16,080",19.5,45%,58 : 42
City University of New York,US,661-670,-,19.9,35.6,8.9,4.7,6.1,4.4,93.1,22.0,13.2,,,,,,,,,,,
Clark University,US,951-1000,-,2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6,6.5,601–800,37.0–41.8,26.6,20.8,66.8,54.0,70.5,"3,217",12.2,27%,59 : 41
Clarkson University,US,851-900,-,1.3,1.9,13.5,41.8,48.5,15.0,30.6,7.9,1.2,801–1000,32.7–36.9,29.9,18.0,41.2,67.4,63.3,"3,871",15.5,8%,34 : 66
Claude Bernard University Lyon 1,France,,,,,,,,,,,,401–500,45.4–49.0,40.3,27.1,65.0,71.3,63.7,"27,444",12.7,14%,55 : 45
Clemson University,US,951-1000,-,7.3,7.0,12.6,15.2,11.6,5.2,78.5,7.7,12.3,,,,,,,,,,,
Cleveland State University,US,1201-1400,-,4.1,3.1,9.2,4.0,4.0,26.2,16.7,7.3,1.0,,,,,,,,,,,
Cochin University of Science and Technology,India,,,,,,,,,,,,1201–1500,22.8–28.2,37.6,20.0,25.4,45.6,20.2,"4,136",16.2,1%,60 : 40
École Centrale de Lyon,France,,,,,,,,,,,,601–800,37.0–41.8,36.0,25.7,32.6,82.5,79.2,"2,286",16.4,24%,27 : 73
École des Mines de Saint-Étienne,France,,,,,,,,,,,,601–800,37.0–41.8,44.3,31.4,34.5,77.3,70.6,"1,089",9.8,24%,27 : 73
École des Ponts ParisTech,France,,,,,,,,,,,,401–500,45.4–49.0,43.9,30.3,55.7,87.2,82.7,"1,992",8.7,39%,31 : 69
École Nationale des Travaux Publics de l'État (ENTPE),France,,,,,,,,,,,,601–800,37.0–41.8,32.1,37.0,31.3,80.8,67.7,800,14.8,14%,42 : 58
École Normale Supérieure de Lyon,FR,187,47.5,29.8,16.3,97.0,93.5,59.0,11.7,70.3,14.0,6.6,251–300,53.1–55.8,58.5,46.8,53.9,78.5,68.0,"2,024",7.9,11%,43 : 57
École Polytechnique Fédérale de Lausanne,Switzerland,,,,,,,,,,,,33,81.4,74.5,73.2,90.3,99.8,95.8,"12,543",13.5,64%,30 : 70
Colegio de México,MX,771-780,-,14.9,2.5,100.0,1.7,8.5,16.4,9.6,3.2,1.0,,,,,,,,,,,
College of Charleston,United States,,,,,,,,,,,,1501+,9.7–22.7,17.4,7.9,30.4,23.2,29.8,"9,986",16.3,1%,68 : 32
College of William and Mary,US,1001-1200,-,8.1,9.1,20.9,11.4,6.3,5.4,33.1,23.7,4.3,,,,,,,,,,,
Colorado School of Mines,US,501,24.1,6.8,12.5,15.8,72.0,29.7,7.4,30.9,17.7,18.0,,,,,,,,,,,
Colorado State University,US,442,26.8,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9,,,,,,,,,,,
"Colorado State University, Fort Collins",United States,,,,,,,,,,,,401–500,45.4–49.0,33.4,31.7,74.4,69.4,46.6,"27,786",16.2,5%,56 : 44
Columbia University,US,34,82,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,17,90.9,88.6,89.7,97.4,75.2,86.9,"25,914",5.2,35%,
Comenius University Bratislava,SK,661-670,-,12.8,8.5,56.0,3.5,3.8,22.9,60.2,79.8,5.1,,,,,,,,,,,
Comenius University in Bratislava,Slovakia,,,,,,,,,,,,1001–1200,28.3–32.6,31.2,16.6,41.8,25.0,52.6,"21,812",10.5,15%,65 : 35
Comillas Pontifical University,Spain,,,,,,,,,,,,1501+,9.7–22.7,18.3,15.7,26.3,31.4,44.2,"9,765",21.0,7%,55 : 45
Communication University of China,China,,,,,,,,,,,,1501+,9.7–22.7,27.5,17.3,15.5,37.6,23.4,"17,316",15.3,3%,70 : 30
Complutense University of Madrid,ES,164,50.9,68.1,68.1,28.7,7.9,10.5,34.3,91.8,96.3,88.9,501–600,41.9–45.3,40.3,29.4,58.8,52.1,46.7,"59,814",11.8,10%,62 : 38
COMSATS University Islamabad,PK,711-720,-,11.7,30.5,13.4,18.2,1.5,1.4,88.3,6.1,14.6,601–800,37.0–41.8,17.9,16.6,88.2,30.5,50.0,"34,323",16.0,1%,42 : 58
Concordia University,CA,415,28.7,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,89.8,501–600,41.9–45.3,25.7,29.3,66.2,66.3,86.6,"36,749",34.6,34%,50 : 50
Constructor University Bremen,Germany,,,,,,,,,,,,401–500,45.4–49.0,36.7,35.9,48.9,84.7,93.5,"1,534",22.1,83%,42 : 58
Copenhagen Business School,Denmark,,,,,,,,,,,,301–350,51.1–53.0,21.1,32.3,92.1,43.8,91.5,"16,785",27.5,23%,48 : 52
Cornell University,US,16,87.9,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,20,89.5,85.7,88.7,97.6,69.4,86.0,"23,620",10.0,24%,51 : 49
Corvinus University of Budapest,HU,1001-1200,-,10.3,21.6,4.7,3.1,7.3,34.8,19.3,33.5,1.0,,,,,,,,,,,
Covenant University,Nigeria,,,,,,,,,,,,801–1000,32.7–36.9,24.7,24.4,56.6,24.2,54.3,"8,940",17.5,0%,37 : 63
Coventry University,UK,531,23.1,9.7,9.5,16.9,7.1,77.0,99.9,82.6,10.0,64.4,601–800,37.0–41.8,20.9,14.9,69.6,26.8,95.6,"32,635",14.9,48%,48 : 52
Cracow University of Technology (Politechnika Krakowska),PL,1001-1200,-,11.0,21.3,21.7,4.7,2.6,3.3,46.5,5.4,1.0,1501+,9.7–22.7,21.2,10.7,30.4,28.2,27.3,"13,510",12.2,5%,36 : 64
Cukurova University,TR,1201-1400,-,4.9,3.8,5.2,2.6,1.9,3.3,46.2,7.6,2.9,1201–1500,22.8–28.2,23.8,23.4,26.2,26.7,28.9,"35,424",15.4,4%,45 : 55
CUNY The City College of New York,US,1201-1400,-,7.2,3.0,11.9,11.3,6.7,4.7,24.8,1.5,2.5,,,,,,,,,,,
Curtin University,AU,174,49.3,33.1,27.7,15.7,84.7,100.0,24.3,94.2,31.0,90.7,201–250,55.9–58.6,30.2,36.5,87.5,78.8,94.7,"29,283",20.8,29%,53 : 47
CY Cergy Paris University,FR,851-900,-,3.7,2.5,49.5,5.0,47.2,45.9,46.0,1.5,1.4,801–1000,32.7–36.9,23.8,25.3,44.4,56.6,92.7,"16,082",19.5,26%,52 : 48
Cyprus University of Technology,Cyprus,,,,,,,,,,,,601–800,37.0–41.8,29.4,19.1,63.3,21.9,71.2,"3,157",15.3,14%,57 : 43
Czech Technical University in Prague,CZ,420,28.4,22.0,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8,1001–1200,28.3–32.6,30.9,18.8,32.2,51.9,60.2,"15,663",8.7,21%,30 : 70
Czech University of Life Sciences in Prague,CZ,711-720,-,10.4,6.7,9.4,10.8,29.0,73.5,75.8,3.9,49.5,,,,,,,,,,,
Czech University of Life Sciences Prague (CZU),Czech Republic,,,,,,,,,,,,801–1000,32.7–36.9,20.1,15.4,50.8,50.2,76.4,"19,126",18.3,26%,50 : 50
D. Serikbayev East Kazakhstan state technical university,KZ,951-1000,-,13.0,7.7,64.2,1.2,14.4,2.5,2.4,3.5,1.3,,,,,,,,,,,
Daegu Gyeongbuk Institute of Science and Technology (DGIST),KR,326,34,10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7,3.1,351–400,49.1–51.0,48.8,38.9,64.8,78.1,34.5,742,6.3,4%,36 : 64
Daffodil International University,BD,1201-1400,-,9.5,19.8,3.8,2.8,5.0,2.9,22.0,3.7,3.4,,,,,,,,,,,
Dalhousie University,CA,275,38.2,19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1,87.9,301–350,51.1–53.0,30.8,31.6,78.9,71.7,89.1,"17,314",14.7,27%,54 : 46
Dalian University of Technology,CN,448,26.6,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,401–500,45.4–49.0,37.0,35.0,68.1,86.8,40.2,"37,389",14.5,3%,
Damascus University,SY,1201-1400,-,6.1,3.7,1.4,1.2,4.0,6.0,18.4,90.2,1.1,,,,,,,,,,,
Damghan University,Iran,,,,,,,,,,,,1501+,9.7–22.7,17.7,11.4,27.0,17.9,27.9,"4,709",15.9,0%,69 : 31
Damietta University,Egypt,,,,,,,,,,,,801–1000,32.7–36.9,16.4,9.4,73.0,17.4,46.1,"32,299",33.9,1%,63 : 37
Dankook University ,KR,1001-1200,-,5.8,4.0,59.2,3.0,4.2,7.1,13.0,2.9,4.1,,,,,,,,,,,
Dartmouth College,US,243,41.3,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2,=161,61.4,57.3,40.7,84.7,68.4,60.2,"6,226",7.4,16%,49 : 51
