country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
Slovenia,Elementary and Secondary Institutions ,Public,2009,3.6
Spain,Elementary and Secondary Institutions ,Public,2009,3.1
Sweden,Elementary and Secondary Institutions ,Public,2009,4.2
Switzerland,Elementary and Secondary Institutions ,Public,2009,3.8
United Kingdom,Elementary and Secondary Institutions ,Public,2009,4.5
United States,Elementary and Secondary Institutions ,Public,2009,3.8
Brazil,Elementary and Secondary Institutions ,Public,2009,4.3
Russia,Elementary and Secondary Institutions ,Public,2009,2.3
OECD Average,Higher Education Institutions ,Public,2009,1.1
Australia,Higher Education Institutions ,Public,2009,0.7
Austria,Higher Education Institutions ,Public,2009,1.4
Belgium,Higher Education Institutions ,Public,2009,1.4
Canada,Higher Education Institutions ,Public,2009,1.5
Chile,Higher Education Institutions ,Public,2009,0.3
Czech Republic,Higher Education Institutions ,Public,2009,1.0
Denmark,Higher Education Institutions ,Public,2009,1.8
Estonia,Higher Education Institutions ,Public,2009,1.3
Finland,Higher Education Institutions ,Public,2009,1.8
France,Higher Education Institutions ,Public,2009,1.3
Germany,Higher Education Institutions ,Public,2009,1.1
Hungary,Higher Education Institutions ,Public,2009,1.0
Iceland,Higher Education Institutions ,Public,2009,1.2
Ireland,Higher Education Institutions ,Public,2009,1.4
Israel,Higher Education Institutions ,Public,2009,1.0
Italy,Higher Education Institutions ,Public,2009,0.8
Japan,Higher Education Institutions ,Public,2009,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2009,0.7
Mexico,Higher Education Institutions ,Public,2009,1.0
Netherlands,Higher Education Institutions ,Public,2009,1.2
New Zealand,Higher Education Institutions ,Public,2009,1.1
Norway,Higher Education Institutions ,Public,2009,1.3
Poland,Higher Education Institutions ,Public,2009,1.1
Portugal,Higher Education Institutions ,Public,2009,1.0
Slovak Republic,Higher Education Institutions ,Public,2009,0.7
Slovenia,Higher Education Institutions ,Public,2009,1.1
Spain,Higher Education Institutions ,Public,2009,1.1
Sweden,Higher Education Institutions ,Public,2009,1.6
Switzerland,Higher Education Institutions ,Public,2009,1.4
United Kingdom,Higher Education Institutions ,Public,2009,0.6
United States,Higher Education Institutions ,Public,2009,1.1
Brazil,Higher Education Institutions ,Public,2009,0.8
Russia,Higher Education Institutions ,Public,2009,1.2
OECD Average,All Institutions ,Public,2010,5.4
