university_id,year,citations_per_faculty_score,international_research_network_score,research_score,citation_score,research_impact,source,research_productivity_index
U0320,2025,3.0,86.4,,3.0,3.0,QS 2025,35.71717171717172
U1841,2025,2.8,31.4,,2.8,2.8,QS 2025,13.373737373737374
U0422,2025,31.2,66.4,,31.2,31.2,QS 2025,44.72727272727273
U1479,2025,14.5,73.6,,14.5,14.5,QS 2025,37.515151515151516
U3079,2025,15.5,98.1,,15.5,15.5,QS 2025,48.02020202020203
U0859,2025,29.1,86.6,,29.1,29.1,QS 2025,51.61616161616161
U2744,2025,49.8,91.2,,49.8,49.8,QS 2025,66.02020202020202
U2936,2025,25.2,70.1,,25.2,25.2,QS 2025,42.58585858585858
U3182,2025,10.8,88.8,,10.8,10.8,QS 2025,41.41414141414141
U0753,2025,100.0,27.0,,100.0,100.0,QS 2025,70.5050505050505
U1680,2025,1.6,38.1,,1.6,1.6,QS 2025,15.353535353535353
U2654,2025,90.6,89.0,,90.6,90.6,QS 2025,89.85858585858585
U1998,2025,21.9,78.8,,21.9,21.9,QS 2025,44.1010101010101
