University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
national technical university of ukraine igor sikorsky kyiv polytechnic institute,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,UA,731-740,-,16.1,33.7,47.0,1.5,1.1,2.5,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,1201.0,22.8–28.2,26.5,9.9,16.0,22.2,22.4,"21,170",8.0,3%,30 : 70,2024
universidade federal de s o paulo,Universidade Federal de São Paulo,Brazil,BR,731-740,-,11.4,4.3,97.0,6.3,5.0,1.5,Universidade Federal de São Paulo (UNIFESP),Brazil,801.0,32.7–36.9,33.2,22.5,48.2,47.2,35.2,"19,803",11.3,1%,59:41:00,2024
university of siena,University of Siena,Italy,IT,731-740,-,12.5,2.6,8.6,33.2,2.1,15.1,University of Siena,Italy,501.0,41.9–45.3,25.0,25.6,75.9,74.9,48.7,"13,115",18.1,10%,63:37:00,2024
budapest university of technology and economics,Budapest University of Technology and Economics,Hungary,HU,741-750,-,14.3,19.4,15.2,8.9,2.5,18.8,Budapest University of Technology and Economics,Hungary,1201.0,22.8–28.2,22.2,18.3,35.8,59.3,37.6,"18,621",16.9,13%,31 : 69,2024
instituto polit cnico nacional,Instituto Politécnico Nacional (IPN),Mexico,MX,741-750,-,20.4,40.2,8.7,2.1,2.6,1.1,Instituto Politécnico Nacional (IPN),Mexico,1501.0,9.7–22.7,20.7,9.9,14.5,26.7,25.5,"1,41,583",13.0,0%,42:58:00,2024
jadavpur university,Jadavpur University,India,IN,741-750,-,16.3,5.1,8.3,37.9,,1.0,Jadavpur University,India,1001.0,28.3–32.6,35.3,15.8,46.0,35.4,19.2,"14,338",21.3,0%,31 : 69,2024
university of the punjab,University of the Punjab,Pakistan,PK,741-750,-,14.2,52.3,5.3,9.8,2.9,1.3,University of the Punjab,Pakistan,801.0,32.7–36.9,27.7,14.7,62.4,24.9,46.7,"28,692",22.0,1%,52:48:00,2024
university of the west of england,University of the West of England,United Kingdom,UK,741-750,-,9.2,9.4,8.4,10.8,48.4,75.8,University of the West of England,United Kingdom,501.0,41.9–45.3,19.5,15.0,82.6,30.2,78.6,"26,890",15.9,25%,52:48:00,2024
kasetsart university,Kasetsart University,Thailand,TH,751-760,-,24.3,21.8,6.2,2.5,4.8,1.3,Kasetsart University,Thailand,1501.0,9.7–22.7,18.1,12.6,23.5,25.7,33.8,"70,633",18.7,1%,62:38:00,2024
liverpool john moores university,Liverpool John Moores University,United Kingdom,UK,751-760,-,9.9,6.8,8.4,14.5,48.1,24.4,Liverpool John Moores University,United Kingdom,501.0,41.9–45.3,21.6,19.3,77.7,35.4,83.0,"23,200",18.1,16%,54:46:00,2024
